engine,home,file,state,variant,rcp,mtime
CEM,fia_cem_projections,state_AZ_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_CO_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_IL_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_IN_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_KS_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_KY_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_MD_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_me_fiadb_l7b_rcp45_ci.csv,,,rcp45,2026-06-08
CEM,fia_cem_projections,state_me_fixed_l7b_rcp45_ci.csv,,,rcp45,2026-06-06
CEM,fia_cem_projections,state_NE_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_NV_conus_sdimax_ci.csv,,,,2026-06-09
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_econ_r12_ci.csv,,,rcp45,2026-04-26
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_econ_r14_ci.csv,,,rcp45,2026-04-26
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_econ_r17_ci.csv,,,rcp45,2026-04-28
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_econ_r18_ci.csv,,,rcp45,2026-04-29
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_econ_r19_ci.csv,,,rcp45,2026-04-29
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_econ_r20_ci.csv,,,rcp45,2026-04-29
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_hindcast_r12_ci.csv,,,rcp45,2026-04-26
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_hindcast_r12_v2_ci.csv,,,rcp45,2026-04-26
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_r12_ci.csv,,,rcp45,2026-04-26
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_r17_ci.csv,,,rcp45,2026-04-28
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_r18_ci.csv,,,rcp45,2026-04-29
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_r19_ci.csv,,,rcp45,2026-04-29
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_r20_ci.csv,,,rcp45,2026-04-29
CEM,fia_cem_projections,state_rcp45_hadgem2_wear_w5_ci.csv,,,rcp45,2026-04-27
CEM,fia_cem_projections,state_rcp45_wear_plantTerm_prod_l7b_ci.csv,,,rcp45,2026-06-04
CEM,fia_cem_projections,state_rcp45_wear_prodW100prod_l7b_ci.csv,,,rcp45,2026-06-03
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_econ_r12_ci.csv,,,rcp85,2026-04-27
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_econ_r13_ci.csv,,,rcp85,2026-04-27
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_econ_r14_ci.csv,,,rcp85,2026-04-27
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_econ_r15_ci.csv,,,rcp85,2026-04-27
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_econ_r17_ci.csv,,,rcp85,2026-04-28
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_econ_r18_ci.csv,,,rcp85,2026-04-29
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_econ_r19_ci.csv,,,rcp85,2026-04-29
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_econ_r20_ci.csv,,,rcp85,2026-04-29
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_r12_ci.csv,,,rcp85,2026-04-27
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_r13_ci.csv,,,rcp85,2026-04-27
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_r14_ci.csv,,,rcp85,2026-04-27
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_r17_ci.csv,,,rcp85,2026-04-28
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_r18_ci.csv,,,rcp85,2026-04-29
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_r19_ci.csv,,,rcp85,2026-04-29
CEM,fia_cem_projections,state_rcp85_hadgem2_wear_r20_ci.csv,,,rcp85,2026-04-29
CEM,fia_cem_projections,state_rcp85_wear_plantTerm_prod_l7b_ci.csv,,,rcp85,2026-06-04
CEM,fia_cem_projections,state_rcp85_wear_prodW100prod_l7b_ci.csv,,,rcp85,2026-06-03
YC,yield_curves_conus,ci_yc_fiadb_al_rcp45.csv,al,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_al_rcp85.csv,al,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ar_rcp45.csv,ar,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ar_rcp85.csv,ar,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_az_rcp45.csv,az,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_az_rcp85.csv,az,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ca_rcp45.csv,ca,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ca_rcp85.csv,ca,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_co_rcp45.csv,co,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_co_rcp85.csv,co,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ct_rcp45.csv,ct,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ct_rcp85.csv,ct,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_de_rcp45.csv,de,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_de_rcp85.csv,de,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_fl_rcp45.csv,fl,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_fl_rcp85.csv,fl,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ga_rcp45.csv,ga,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ga_rcp85.csv,ga,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ia_rcp45.csv,ia,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ia_rcp85.csv,ia,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_id_rcp45.csv,id,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_id_rcp85.csv,id,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_il_rcp45.csv,il,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_il_rcp85.csv,il,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_in_rcp45.csv,in,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_in_rcp85.csv,in,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ks_rcp45.csv,ks,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ks_rcp85.csv,ks,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ky_rcp45.csv,ky,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ky_rcp85.csv,ky,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_la_rcp45.csv,la,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_la_rcp85.csv,la,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ma_rcp45.csv,ma,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ma_rcp85.csv,ma,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_md_rcp45.csv,md,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_md_rcp85.csv,md,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_me_rcp45.csv,me,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_me_rcp85.csv,me,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_mi_rcp45.csv,mi,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_mi_rcp85.csv,mi,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_mn_rcp45.csv,mn,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_mn_rcp85.csv,mn,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_mo_rcp45.csv,mo,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_mo_rcp85.csv,mo,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ms_rcp45.csv,ms,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ms_rcp85.csv,ms,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_mt_rcp45.csv,mt,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_mt_rcp85.csv,mt,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nc_rcp45.csv,nc,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nc_rcp85.csv,nc,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nd_rcp45.csv,nd,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nd_rcp85.csv,nd,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ne_rcp45.csv,ne,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ne_rcp85.csv,ne,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nh_rcp45.csv,nh,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nh_rcp85.csv,nh,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nj_rcp45.csv,nj,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nj_rcp85.csv,nj,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nm_rcp45.csv,nm,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nm_rcp85.csv,nm,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nv_rcp45.csv,nv,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_nv_rcp85.csv,nv,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ny_rcp45.csv,ny,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ny_rcp85.csv,ny,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_oh_rcp45.csv,oh,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_oh_rcp85.csv,oh,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ok_rcp45.csv,ok,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ok_rcp85.csv,ok,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_or_rcp45.csv,or,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_or_rcp85.csv,or,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_pa_rcp45.csv,pa,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_pa_rcp85.csv,pa,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ri_rcp45.csv,ri,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ri_rcp85.csv,ri,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_sc_rcp45.csv,sc,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_sc_rcp85.csv,sc,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_sd_rcp45.csv,sd,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_sd_rcp85.csv,sd,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_tn_rcp45.csv,tn,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_tn_rcp85.csv,tn,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_tx_rcp45.csv,tx,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_tx_rcp85.csv,tx,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ut_rcp45.csv,ut,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_ut_rcp85.csv,ut,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_va_rcp45.csv,va,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_va_rcp85.csv,va,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_vt_rcp45.csv,vt,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_vt_rcp85.csv,vt,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_wa_rcp45.csv,wa,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_wa_rcp85.csv,wa,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_wi_rcp45.csv,wi,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_wi_rcp85.csv,wi,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_wv_rcp45.csv,wv,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_wv_rcp85.csv,wv,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_wy_rcp45.csv,wy,fiadb,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_fiadb_wy_rcp85.csv,wy,fiadb,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_al_rcp45.csv,al,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_al_rcp85.csv,al,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ar_rcp45.csv,ar,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ar_rcp85.csv,ar,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_az_rcp45.csv,az,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_az_rcp85.csv,az,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ca_rcp45.csv,ca,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ca_rcp85.csv,ca,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_co_rcp45.csv,co,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_co_rcp85.csv,co,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ct_rcp45.csv,ct,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ct_rcp85.csv,ct,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_de_rcp45.csv,de,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_de_rcp85.csv,de,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_fl_rcp45.csv,fl,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_fl_rcp85.csv,fl,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ga_rcp45.csv,ga,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ga_rcp85.csv,ga,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ia_rcp45.csv,ia,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ia_rcp85.csv,ia,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_id_rcp45.csv,id,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_id_rcp85.csv,id,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_il_rcp45.csv,il,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_il_rcp85.csv,il,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_in_rcp45.csv,in,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_in_rcp85.csv,in,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ks_rcp45.csv,ks,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ks_rcp85.csv,ks,treemap,rcp85,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ky_rcp45.csv,ky,treemap,rcp45,2026-06-08
YC,yield_curves_conus,ci_yc_treemap_ky_rcp85.csv,ky,treemap,rcp85,2026-06-08
