dir,size,mtime,filecount,perseus_class
acadgy_fia_verify,5.3M,2026-05-29,167,other
acd_patch_scratch,36K,2026-05-21,0,other
bakuzis_acadgy,192K,2026-05-20,5,other
bin,39M,2026-05-13,2,other
R,4.4G,2026-05-10,2360,other
cbm_conus,25M,2026-06-02,115,CBM
raster_layers,1.3G,2026-05-31,14,DATA
RDS_2025_0045,4.9G,2026-06-03,9,other
repos,31M,2026-05-05,70,other
Rlibs_bio,9.2M,2026-06-01,123,other
scratch,13M,2026-06-09,149,other
scripts,108K,2026-05-26,15,other
seven_islands,172M,2026-05-21,10,other
SevenIslands,220K,2026-05-05,0,other
silc_cfi,69M,2026-06-08,371,DATA
silc_strata,198M,2026-05-29,41,other
SiteIndex,8.5G,2026-05-26,62,DATA
slurm_logs,52K,2026-05-26,5,other
stage,36K,2026-06-04,5,other
stage2_pack_20260528,44K,2026-05-28,8,other
t2_final,124K,2026-05-17,5,other
t2_snapshot,64K,2026-05-17,3,other
Templates,4.0K,2023-05-11,0,other
TREEMAP,1.1G,2026-05-31,49,DATA
Videos,4.0K,2023-05-11,0,other
WPsCS_run,536K,2026-06-02,45,HWP
WPsCS_src,1.3M,2026-06-02,43,HWP
wpsenv,307M,2026-06-02,10,HWP
yield_curves,14M,2026-05-02,335,YC
yield_curves_conus,309M,2026-06-09,2161,YC
zenodo_staging,10G,2026-06-05,141,ARCHIVE
cbm_maine,8.4G,2026-05-21,811,CBM
cbm_states,7.5G,2026-06-02,175,CBM
conus_hcs,3.3G,2026-06-09,1682,HCM
conus_hcs_products,7.5G,2026-06-02,161,HCM
conus_render,212M,2026-06-03,116,other
Desktop,4.0K,2023-05-11,0,other
dg_refit_backup_20260530_193653,324M,2026-05-30,46,other
Disturbance,11G,2026-05-31,819,FIA
disturbance-ne-staging,456M,2026-05-26,461,FIA
FIA,0,2026-06-09,0,FIA
fia_cem_projections,128G,2026-06-09,2890,CEM
fia_data,28G,2026-05-31,540,FIA
fvs-conus,185G,2026-06-05,2932,FVS
fvs_fix_backup_20260530_081931,790M,2026-05-30,83,other
fvs-modern,4.9G,2026-06-02,3260,FVS
fvs-modern-exp,652K,2026-06-02,12,FVS
fvs-modern-pr63,408K,2026-06-02,7,other
HRF,7.4G,2026-05-21,932,other
landis2,4.0K,2026-04-27,0,LANDIS
landowner,5.7M,2026-05-15,57,other
lib_old,4.3M,2026-05-16,1,other
logs,424K,2026-05-28,88,other
LSOG,5.4G,2026-05-06,289,other
LSOG_cardinal_setup,12K,2026-05-16,1,other
magplot,1.9G,2026-05-28,79,other
magstd,88K,2026-05-21,4,other
maine_v3_mosaics,165M,2026-04-30,8,other
ME_AGB_Map_Comparison,1.8M,2026-05-11,31,other
net01_standalone_test,32K,2026-05-21,5,other
NLCD,340M,2026-05-26,72,DATA
ondemand,360K,2026-05-21,0,other
OSM,4.0G,2026-05-14,91,OSM
per_ft_b13,12K,2026-05-30,1,other
perseus_db,617M,2026-06-09,627,HUB
perseus_extract,7.0M,2026-05-17,45,other
perseus_optimizer,2.2M,2026-05-10,70,other
phase2_logs,632K,2026-06-02,153,other
Pictures,4.0K,2023-05-11,0,other
projects,13G,2026-05-23,40,other
Public,4.0K,2023-05-11,0,other
R,4.4G,2026-05-10,2360,other
raster_layers,1.3G,2026-05-31,14,DATA
RDS_2025_0045,4.9G,2026-06-03,9,other
repos,31M,2026-05-05,70,other
Rlibs_bio,9.2M,2026-06-01,123,other
scratch,13M,2026-06-09,149,other
scripts,108K,2026-05-26,15,other
seven_islands,172M,2026-05-21,10,other
SevenIslands,220K,2026-05-05,0,other
silc_cfi,69M,2026-06-08,371,DATA
silc_strata,198M,2026-05-29,41,other
SiteIndex,8.5G,2026-05-26,62,DATA
slurm_logs,52K,2026-05-26,5,other
stage,36K,2026-06-04,5,other
stage2_pack_20260528,44K,2026-05-28,8,other
t2_final,124K,2026-05-17,5,other
t2_snapshot,64K,2026-05-17,3,other
Templates,4.0K,2023-05-11,0,other
TREEMAP,1.1G,2026-05-31,49,DATA
Videos,4.0K,2023-05-11,0,other
WPsCS_run,536K,2026-06-02,45,HWP
WPsCS_src,1.3M,2026-06-02,43,HWP
wpsenv,307M,2026-06-02,10,HWP
yield_curves,14M,2026-05-02,335,YC
yield_curves_conus,309M,2026-06-09,2161,YC
zenodo_staging,10G,2026-06-05,141,ARCHIVE
