PLT_CN,asym_agb
21860,214.15
21863,201.34
21864,216.27
21865,256.05
21866,212.6
21869,190.32
21873,258.62
21874,225.72
22027,268.49
22029,187.97
22030,235.72
22032,223.87
22034,164.74
22035,185.65
22037,209.96
22039,176.74
22041,222.6
22042,192.17
22043,242.81
22044,231.82
22046,162.67
22048,198.15
22050,189.43
22051,190.26
22053,212.13
22057,178.71
22058,160.58
22059,176.88
22061,192.69
22063,178.51
22064,172.23
22066,201.89
22068,214.57
22070,167.08
22071,208.07
22073,187.88
22075,198.77
22077,206.91
22079,181.72
22080,195.78
22081,224.84
22084,172.11
22085,213.46
22087,182.71
22088,180.78
22091,236.04
22092,182.42
22094,185.71
22095,254.63
22096,250.43
22098,269.14
22100,235.87
22107,232.77
22108,219.6
22112,235.52
22114,239.55
22115,235.47
22117,231.3
22118,229.62
22121,233.76
22122,258.47
22124,239.48
22126,253.27
22127,260.35
22129,216.53
22130,225.98
22132,214.64
22134,231.07
22135,262.76
22137,218.85
22139,230.47
22140,225.64
22142,239.15
22144,218.64
22145,262.33
22147,234.82
22149,203.33
22150,206.65
22151,248.81
22153,229.77
22156,212.23
22157,228.28
22159,219.86
22160,233.63
22161,240.79
22163,222.81
22164,216.04
22167,215.17
22169,223.04
22170,235.58
26312,258.28
26316,264.74
26315,257.64
26318,247.8
22299,236.83
22300,227.31
22302,243.82
22303,224.41
22306,259.4
22307,228.12
22308,218.8
22310,223.57
22312,236.03
22314,202.65
22315,192.74
22317,245.82
22319,243.87
22320,216.08
22322,192.51
22324,190.78
22326,216.63
22327,223.47
22942,194.98
22944,227.42
22945,198.29
22946,220.88
22948,239.16
22951,225.96
22952,179.68
22953,215.07
22956,186.96
22957,178.09
22960,195.64
22961,209.8
22963,207.78
22964,248.49
22966,195.41
22968,177.43
22969,186.51
22971,198.9
22972,202.76
22975,215.78
22976,249.34
22978,202.79
22979,188.67
22982,212.43
22983,230.56
22984,228.63
22986,229.66
22988,194.77
22989,191.66
22991,205.17
22992,219.86
22995,192.01
22996,177.81
22997,194.44
23000,202.18
23001,221.07
23003,197.15
23004,211.08
23006,238.81
23008,198.77
23009,220.3
23011,231.74
23013,184.68
23014,177.65
23016,196.33
23018,226.87
23020,163.84
23021,217.99
23022,232.02
23024,259.26
23026,216.44
23028,237.16
23030,222.48
23032,224.74
23033,241.37
23035,190.79
23037,221.98
23147,233.82
23149,225.28
23151,261.89
23152,257.16
23153,258.18
23155,258.8
23156,263.45
23158,218.09
23159,200.65
23162,218.04
23179,240.6
23181,229.82
23182,224.66
23184,207.79
23187,180.01
