"COUNTYCD","county","owner","n_plots","county_mult","owner_mult","product_mult","flag"
3,"AROOSTOOK","Industrial",466,0.415276407333787,1.5,0.62,"ok"
3,"AROOSTOOK","NIPF",452,0.415276407333787,0.5,0.21,"ok"
25,"SOMERSET","NIPF",305,0.6407830166254,0.5,0.32,"ok"
21,"PISCATAQUIS","Industrial",278,0.497584472480127,1.5,0.75,"ok"
29,"WASHINGTON","NIPF",268,0.3,0.5,0.15,"ok"
21,"PISCATAQUIS","NIPF",249,0.497584472480127,0.5,0.25,"ok"
19,"PENOBSCOT","NIPF",245,1.18613616241223,0.5,0.59,"ok"
17,"OXFORD","NIPF",238,1.87814209281382,0.5,0.94,"ok"
25,"SOMERSET","Industrial",222,0.6407830166254,1.5,0.96,"ok"
9,"HANCOCK","NIPF",214,0.634307501455591,0.5,0.32,"ok"
19,"PENOBSCOT","Industrial",184,1.18613616241223,1.5,1.78,"ok"
7,"FRANKLIN","NIPF",158,1.17798911134074,0.5,0.59,"ok"
29,"WASHINGTON","Industrial",148,0.3,1.5,0.45,"ok"
7,"FRANKLIN","Industrial",108,1.17798911134074,1.5,1.77,"ok"
31,"YORK","NIPF",108,2.02676408698423,0.5,1.01,"ok"
21,"PISCATAQUIS","State",107,0.497584472480127,0.5,0.25,"ok"
27,"WALDO","NIPF",98,2.18257686414682,0.5,1.09,"ok"
11,"KENNEBEC","NIPF",97,2.18257686414682,0.5,1.09,"ok"
5,"CUMBERLAND","NIPF",89,2.5,0.5,1.25,"ok"
25,"SOMERSET","State",83,0.6407830166254,0.5,0.32,"ok"
15,"LINCOLN","NIPF",68,2.5,0.5,1.25,"ok"
17,"OXFORD","Industrial",68,1.87814209281382,1.5,2.82,"near cap (>2.5)"
3,"AROOSTOOK","State",59,0.415276407333787,0.5,0.21,"ok"
9,"HANCOCK","Industrial",57,0.634307501455591,1.5,0.95,"ok"
1,"ANDROSCOGGIN","NIPF",55,2.5,0.5,1.25,"ok"
19,"PENOBSCOT","Federal",52,1.18613616241223,0.2,0.24,"ok"
13,"KNOX","NIPF",51,2.5,0.5,1.25,"ok"
19,"PENOBSCOT","State",40,1.18613616241223,0.5,0.59,"ok"
17,"OXFORD","Federal",39,1.87814209281382,0.2,0.38,"ok"
23,"SAGADAHOC","NIPF",39,2.5,0.5,1.25,"ok"
19,"PENOBSCOT","Local",33,1.18613616241223,0.3,0.36,"ok"
5,"CUMBERLAND","Industrial",32,2.5,1.5,3.75,"near cap (>2.5)"
7,"FRANKLIN","State",30,1.17798911134074,0.5,0.59,"ok"
29,"WASHINGTON","State",28,0.3,0.5,0.15,"ok"
21,"PISCATAQUIS","Local",26,0.497584472480127,0.3,0.15,"ok"
11,"KENNEBEC","Industrial",19,2.18257686414682,1.5,3.27,"near cap (>2.5)"
3,"AROOSTOOK","Local",16,0.415276407333787,0.3,0.12,"near floor (<0.15)"
27,"WALDO","Industrial",16,2.18257686414682,1.5,3.27,"near cap (>2.5)"
31,"YORK","Industrial",16,2.02676408698423,1.5,3.04,"near cap (>2.5)"
17,"OXFORD","State",14,1.87814209281382,0.5,0.94,"ok"
17,"OXFORD","Local",13,1.87814209281382,0.3,0.56,"ok"
9,"HANCOCK","Federal",12,0.634307501455591,0.2,0.13,"near floor (<0.15)"
29,"WASHINGTON","Tribal",10,0.3,0.2,0.06,"near floor (<0.15)"
31,"YORK","Local",10,2.02676408698423,0.3,0.61,"ok"
1,"ANDROSCOGGIN","Industrial",8,2.5,1.5,3.75,"near cap (>2.5)"
9,"HANCOCK","State",8,0.634307501455591,0.5,0.32,"ok"
29,"WASHINGTON","Federal",8,0.3,0.2,0.06,"near floor (<0.15)"
19,"PENOBSCOT","Tribal",7,1.18613616241223,0.2,0.24,"ok"
31,"YORK","Federal",7,2.02676408698423,0.2,0.41,"ok"
7,"FRANKLIN","Federal",6,1.17798911134074,0.2,0.24,"ok"
25,"SOMERSET","Federal",6,0.6407830166254,0.2,0.13,"near floor (<0.15)"
13,"KNOX","Industrial",5,2.5,1.5,3.75,"near cap (>2.5)"
5,"CUMBERLAND","Local",4,2.5,0.3,0.75,"ok"
11,"KENNEBEC","State",4,2.18257686414682,0.5,1.09,"ok"
15,"LINCOLN","Industrial",4,2.5,1.5,3.75,"near cap (>2.5)"
21,"PISCATAQUIS","Federal",4,0.497584472480127,0.2,0.1,"near floor (<0.15)"
23,"SAGADAHOC","Industrial",4,2.5,1.5,3.75,"near cap (>2.5)"
1,"ANDROSCOGGIN","Local",3,2.5,0.3,0.75,"ok"
3,"AROOSTOOK","Federal",3,0.415276407333787,0.2,0.08,"near floor (<0.15)"
1,"ANDROSCOGGIN","State",2,2.5,0.5,1.25,"ok"
5,"CUMBERLAND","State",2,2.5,0.5,1.25,"ok"
7,"FRANKLIN","Local",2,1.17798911134074,0.3,0.35,"ok"
13,"KNOX","Federal",2,2.5,0.2,0.5,"ok"
15,"LINCOLN","State",2,2.5,0.5,1.25,"ok"
23,"SAGADAHOC","State",2,2.5,0.5,1.25,"ok"
25,"SOMERSET","Tribal",2,0.6407830166254,0.2,0.13,"near floor (<0.15)"
25,"SOMERSET","Local",2,0.6407830166254,0.3,0.19,"ok"
27,"WALDO","State",2,2.18257686414682,0.5,1.09,"ok"
29,"WASHINGTON","Local",2,0.3,0.3,0.09,"near floor (<0.15)"
5,"CUMBERLAND","Federal",1,2.5,0.2,0.5,"ok"
9,"HANCOCK","Tribal",1,0.634307501455591,0.2,0.13,"near floor (<0.15)"
11,"KENNEBEC","Local",1,2.18257686414682,0.3,0.65,"ok"
13,"KNOX","State",1,2.5,0.5,1.25,"ok"
15,"LINCOLN","Local",1,2.5,0.3,0.75,"ok"
23,"SAGADAHOC","Local",1,2.5,0.3,0.75,"ok"
