scientific_name,common_name,CE,S,LAC,Score,Cluster,C_Rank
Aesculus pavia,red buckeye,91.5,82.44,49.34,74.42,B,1
Sorbus decora,northern mountain-ash,100.0,62.24,51.02,71.09,B,2
Gymnocladus dioicus,Kentucky coffeetree,100.0,66.71,46.37,71.03,B,3
Sapindus saponaria var. drummondii,western soapberry,83.25,70.1,53.32,68.89,B,4
Ebenopsis ebano,blackbead ebony,100.0,75.0,30.86,68.62,B,5
Pinus radiata,Monterey pine,91.5,60.23,53.49,68.41,B,6
Tsuga caroliniana,Carolina hemlock,66.25,90.69,46.04,67.66,B,7
Quercus incana,bluejack oak,91.5,54.81,53.72,66.68,B,8
Quercus boyntonii,Boynton oak,83.25,65.46,49.07,65.92,B,9
Catalpa speciosa,northern catalpa,100.0,58.32,37.86,65.39,B,10
Eugenia rhombea,red stopper,74.5,62.66,50.62,62.59,B,11
Catalpa bignonioides,southern catalpa,83.25,68.76,35.17,62.39,B,12
Alnus maritima,seaside alder,74.75,68.47,41.75,61.66,B,13
Juglans cinerea,butternut,83.0,57.35,43.41,61.25,B,14
Juglans major,Arizona walnut,58.0,75.77,47.98,60.58,B,15
Quercus polymorpha,Mexican white oak,41.25,85.39,54.76,60.47,B,16
Juglans californica,southern California black walnut,41.25,85.02,48.52,58.26,B,17
Picea breweriana,Brewer spruce,49.5,73.36,47.79,56.88,B,18
Pinus torreyana,Torrey pine,49.5,66.1,53.68,56.43,B,19
Quercus texana,Nutall oak,57.75,62.54,48.01,56.1,B,20
Pinus glabra,spruce pine,66.25,57.42,43.84,55.84,B,21
Pseudotsuga macrocarpa,bigcone Douglas-fir,66.25,56.82,44.4,55.82,B,22
Pinus coulteri,Coulter pine,41.25,78.1,47.83,55.73,B,23
Quercus rugosa,netleaf oak,33.0,77.02,52.88,54.3,B,24
Sequoiadendron giganteum,giant sequoia,49.75,62.82,49.23,53.93,B,25
Leucaena pulverulenta,great leadtree,66.25,59.27,36.0,53.84,B,26
Pinus strobiformis,southwestern white pine,33.0,79.42,48.88,53.76,B,27
Prosopis pubescens,screwbean mesquite,58.25,56.96,38.75,51.32,B,28
Pinus arizonica,Arizona pine,49.5,57.55,45.68,50.91,B,29
Annona glabra,pond-apple,49.75,58.42,42.24,50.14,B,30
Picea pungens,blue spruce,41.5,59.57,48.22,49.76,B,31
Oxydendrum arboreum,sourwood,49.5,61.56,37.64,49.57,B,32
Quercus prinus,chestnut oak,49.5,52.15,46.23,49.29,B,33
Yucca brevifolia,Joshua tree,41.5,61.76,44.53,49.26,B,34
Quercus grisea,gray oak,33.0,68.64,43.92,48.52,B,35
Bursera simaruba,gumbo limbo,33.0,62.69,47.3,47.66,B,36
Acer grandidentatum,bigtooth maple,41.25,55.02,46.11,47.46,B,37
Acer pensylvanicum,striped maple,41.25,49.04,46.42,45.57,B,38
