STATECD,UNITCD,COUNTYCD,PLOT,sdimax_metric_mean,sdimax_metric_median,sdimax_english_mean,sdimax_english_median,PLT_CN,CONDID,FORTYPCD,OWNGRPCD,SITECLCD
9,1,1,26,625.622654605316,605.098310394496,253.180479352545,244.874572800983,814949785290487,1,503,40,5
9,1,1,63,704.276871907358,666.551507029122,285.010708473952,269.743796552985,814949767290487,1,520,40,5
9,1,1,71,520.423494998811,559.499823359111,210.607894327691,226.421521715976,719393290290487,2,503,40,5
9,1,1,74,807.900655217664,773.052723750647,326.945761397154,312.843305342665,247050425010661,1,520,40,5
9,1,1,85,771.20692151502,783.279519574127,312.096335757459,316.981942346567,445525697489998,1,801,30,5
9,1,1,112,768.112114029161,747.787520393367,310.843911733159,302.618841362902,503649931126144,1,503,30,5
9,1,1,154,777.198775267016,717.030694248688,314.521152688198,290.171996720447,719393276290487,1,999,30,6
9,1,1,222,528.80174023439,494.181882850333,213.998449527798,199.988291770417,373850927489998,2,805,40,5
9,1,1,235,995.363204080036,992.845437054532,402.809155461052,401.790251401676,719393285290487,1,503,40,5
9,1,1,247,863.499712823834,894.573589895123,349.445899383941,362.021049970862,445525691489998,1,505,40,4
9,1,1,293,929.536898178951,921.969721026308,376.170197361688,373.107869735364,445525690489998,1,999,40,6
9,1,1,310,727.113856593486,669.681628933768,294.252507323849,271.010511814039,1285453452290487,1,520,40,5
9,1,1,319,1015.91957332379,1010.46236021936,411.128022082282,408.919566522788,944325488290487,1,515,40,5
9,1,1,335,730.69030301253,713.739664691815,295.699843688808,288.840164449606,814949786290487,1,505,30,5
9,1,1,373,734.683447142663,712.231745294243,297.315811616997,288.229931183448,567481560126144,1,519,30,5
9,1,1,423,870.863837264077,860.403527821198,352.426054501515,348.192917898438,445525685489998,1,503,30,4
9,1,1,447,912.109818237637,888.014240628623,369.117709059389,359.366575777339,503649788126144,1,503,40,5
9,1,1,478,909.706212850139,894.586685195043,368.145004570986,362.026349450167,503649932126144,1,801,40,5
9,1,1,486,717.5086603973,707.346935906124,290.365422738078,286.253119165331,944325467290487,1,505,30,5
9,1,1,492,941.777737559209,934.76253988232,381.123888790791,378.284939309801,814949768290487,1,517,40,6
9,1,1,536,832.185000024623,822.098969517421,336.773286045965,332.691614738539,719393255290487,1,506,40,5
9,1,1,542,733.154846152238,734.234832895185,296.697208808026,297.134263891088,567481573126144,1,503,40,5
9,1,1,586,1014.26447808423,1014.75127023981,410.458228872203,410.65522664776,445525680489998,1,503,40,5
9,1,1,595,1287.08756014721,1261.4503064323,520.86580153071,510.490774128739,719393286290487,1,515,40,4
9,1,1,614,757.750922141959,744.179457521922,306.650886577572,301.158710274934,247050405010661,2,805,40,5
9,1,1,640,944.057082467998,959.379602368135,382.046306852811,388.24711001211,719393325290487,1,708,40,5
9,1,1,651,977.956842246607,977.22523077631,395.765051478674,395.468978851849,567481562126144,2,701,30,5
9,1,1,658,698.797370725016,850.268351163985,282.793233250276,344.091357851808,245794821489998,2,519,40,4
9,1,1,664,819.35093173493,853.238833268647,331.579523419709,345.293469184622,944325489290487,1,801,30,5
9,1,1,710,635.072203319702,642.049542703841,257.004575643756,259.82820441883,719393277290487,2,503,40,5
9,1,3,3,961.358417374209,960.183960891716,389.047907950132,388.572622323841,719393295290487,1,503,40,5
9,1,3,15,1406.98408782189,1557.23157280728,569.386199770654,630.189193380458,814949751290487,1,506,30,6
9,1,3,44,621.544898335083,574.291360723931,251.530270109672,232.40744388938,567481550126144,2,503,40,4
9,1,3,76,854.212871350515,867.722517237419,345.687648370206,351.154807521735,944325498290487,1,708,40,5
9,1,3,97,961.301790106426,945.242993293437,389.024991710293,382.526227886751,503649922126144,1,708,30,5
9,1,3,129,602.09550771408,545.940036457431,243.659381796577,220.934071217797,719393262290487,2,995,40,6
