us_l3code,us_l3name,TYPGRPCD,typgroup_label,n_plots,sdimax_m_mean,sdimax_m_median,sdimax_m_p10,sdimax_m_p90,sdimax_e_mean,sdimax_e_median,sdimax_e_p10,sdimax_e_p90
1,Coast Range,200,Douglas-fir,443,1202,1124,679,1867,487,455,275,756
1,Coast Range,300,Hemlock-Sitka spruce,366,1512,1475,837,2237,612,597,339,905
1,Coast Range,910,Alder-maple,114,1130,1030,641,1635,457,417,259,662
1,Coast Range,260,Fir-spruce-mountain hemlock,31,1953,1950,1326,2538,790,789,537,1027
1,Coast Range,999,Nonstocked,15,1288,1314,804,1709,521,532,325,692
1,Coast Range,960,Other hardwoods,7,865,943,558,1138,350,382,226,460
1,Coast Range,280,Lodgepole pine,4,1314,1121,1044,1739,532,454,422,704
1,Coast Range,700,Elm-ash-cottonwood,3,888,984,615,1122,359,398,249,454
1,Coast Range,240,Western white pine,1,730,730,730,730,295,295,295,295
2,Puget Lowland,200,Douglas-fir,251,1156,1068,592,1805,468,432,240,730
2,Puget Lowland,910,Alder-maple,110,1145,975,674,1799,463,395,273,728
2,Puget Lowland,300,Hemlock-Sitka spruce,48,1499,1520,954,2086,607,615,386,844
2,Puget Lowland,700,Elm-ash-cottonwood,26,996,983,690,1306,403,398,279,528
2,Puget Lowland,999,Nonstocked,11,1059,765,514,1691,429,310,208,684
2,Puget Lowland,900,Aspen-birch,5,887,747,607,1238,359,302,246,501
2,Puget Lowland,260,Fir-spruce-mountain hemlock,5,833,744,553,1157,337,301,224,468
2,Puget Lowland,280,Lodgepole pine,1,637,637,637,637,258,258,258,258
2,Puget Lowland,960,Other hardwoods,1,505,505,505,505,205,205,205,205
2,Puget Lowland,920,Western oak,1,1326,1326,1326,1326,537,537,537,537
3,Willamette Valley,910,Alder-maple,6,705,749,461,905,285,303,187,366
3,Willamette Valley,200,Douglas-fir,3,1012,1001,771,1259,410,405,312,509
3,Willamette Valley,700,Elm-ash-cottonwood,2,674,674,546,802,273,273,221,325
4,Cascades,200,Douglas-fir,642,1326,1271,732,1960,536,514,296,793
4,Cascades,260,Fir-spruce-mountain hemlock,267,1390,1366,657,2127,562,553,266,861
4,Cascades,300,Hemlock-Sitka spruce,144,1608,1597,1053,2201,651,646,426,891
4,Cascades,910,Alder-maple,72,1079,1006,574,1601,437,407,232,648
4,Cascades,999,Nonstocked,21,1050,1114,339,1630,425,451,137,660
4,Cascades,280,Lodgepole pine,7,1086,976,812,1448,439,395,329,586
4,Cascades,700,Elm-ash-cottonwood,6,867,870,532,1198,351,352,215,485
4,Cascades,960,Other hardwoods,4,840,783,716,1011,340,317,290,409
4,Cascades,320,Western larch,3,1169,1345,847,1420,473,544,343,575
9,Eastern Cascades Slopes and Foothills,200,Douglas-fir,180,1063,994,513,1602,430,402,208,648
9,Eastern Cascades Slopes and Foothills,220,Ponderosa pine,146,829,789,441,1281,335,319,178,518
9,Eastern Cascades Slopes and Foothills,260,Fir-spruce-mountain hemlock,95,1083,1093,498,1683,438,442,202,681
9,Eastern Cascades Slopes and Foothills,920,Western oak,26,740,655,429,1050,300,265,174,425
9,Eastern Cascades Slopes and Foothills,280,Lodgepole pine,23,1024,859,590,1456,414,348,239,589
9,Eastern Cascades Slopes and Foothills,320,Western larch,16,1020,823,419,1753,413,333,169,710
9,Eastern Cascades Slopes and Foothills,999,Nonstocked,11,762,448,249,1831,308,181,101,741
9,Eastern Cascades Slopes and Foothills,300,Hemlock-Sitka spruce,5,1382,1316,972,1907,559,533,393,772
9,Eastern Cascades Slopes and Foothills,960,Other hardwoods,4,730,739,506,947,296,299,205,383
9,Eastern Cascades Slopes and Foothills,900,Aspen-birch,2,1009,1009,694,1324,408,408,281,536
9,Eastern Cascades Slopes and Foothills,910,Alder-maple,1,442,442,442,442,179,179,179,179
9,Eastern Cascades Slopes and Foothills,700,Elm-ash-cottonwood,1,1958,1958,1958,1958,792,792,792,792
9,Eastern Cascades Slopes and Foothills,360,Other western softwoods,1,399,399,399,399,162,162,162,162
10,Columbia Plateau,220,Ponderosa pine,56,641,593,389,975,260,240,158,394
10,Columbia Plateau,200,Douglas-fir,24,848,774,451,1480,343,313,182,599
10,Columbia Plateau,999,Nonstocked,10,689,582,385,1035,279,235,156,419
10,Columbia Plateau,920,Western oak,7,810,729,557,1152,328,295,225,466
10,Columbia Plateau,700,Elm-ash-cottonwood,4,838,807,668,1033,339,327,270,418
10,Columbia Plateau,960,Other hardwoods,4,772,725,427,1154,312,293,173,467
10,Columbia Plateau,900,Aspen-birch,3,744,671,435,1083,301,272,176,438
10,Columbia Plateau,260,Fir-spruce-mountain hemlock,3,900,882,849,957,364,357,343,387
11,Blue Mountains,260,Fir-spruce-mountain hemlock,49,1014,1041,584,1539,410,421,236,623
11,Blue Mountains,200,Douglas-fir,22,853,769,454,1311,345,311,184,531
11,Blue Mountains,220,Ponderosa pine,16,545,521,251,857,221,211,101,347
11,Blue Mountains,999,Nonstocked,12,700,652,217,1199,283,264,88,485
11,Blue Mountains,960,Other hardwoods,3,703,576,415,1043,285,233,168,422
11,Blue Mountains,320,Western larch,3,1197,1360,833,1497,485,550,337,606
11,Blue Mountains,280,Lodgepole pine,1,1275,1275,1275,1275,516,516,516,516
15,Northern Rockies,200,Douglas-fir,590,847,781,461,1329,343,316,186,538
15,Northern Rockies,220,Ponderosa pine,218,675,634,367,1032,273,257,148,418
15,Northern Rockies,260,Fir-spruce-mountain hemlock,130,981,979,493,1487,397,396,200,602
15,Northern Rockies,320,Western larch,110,1011,941,580,1462,409,381,235,592
15,Northern Rockies,300,Hemlock-Sitka spruce,96,1299,1334,784,1763,526,540,317,714
15,Northern Rockies,280,Lodgepole pine,87,953,905,526,1374,386,366,213,556
15,Northern Rockies,999,Nonstocked,54,636,564,319,956,257,228,129,387
15,Northern Rockies,900,Aspen-birch,20,834,857,425,1176,337,347,172,476
15,Northern Rockies,960,Other hardwoods,19,592,563,312,833,239,228,126,337
15,Northern Rockies,700,Elm-ash-cottonwood,7,1117,1080,531,1643,452,437,215,665
15,Northern Rockies,240,Western white pine,2,826,826,582,1070,334,334,235,433
15,Northern Rockies,910,Alder-maple,1,820,820,820,820,332,332,332,332
45,Piedmont,160,Loblolly-shortleaf pine,548,937,917,624,1257,379,371,253,509
45,Piedmont,500,Oak-hickory,471,866,843,567,1205,350,341,230,488
45,Piedmont,400,Oak-pine,168,880,858,549,1229,356,347,222,497
45,Piedmont,600,Oak-gum-cypress,42,1017,910,615,1596,411,368,249,646
45,Piedmont,700,Elm-ash-cottonwood,29,814,751,438,1123,330,304,177,455
45,Piedmont,960,Other hardwoods,7,957,951,768,1198,387,385,311,485
45,Piedmont,140,Longleaf-slash pine,3,692,771,502,851,280,312,203,344
45,Piedmont,990,Exotic hardwoods,1,594,594,594,594,240,240,240,240
45,Piedmont,999,Nonstocked,1,1269,1269,1269,1269,514,514,514,514
45,Piedmont,170,Other eastern softwoods,1,621,621,621,621,251,251,251,251
45,Piedmont,100,White-red-jack pine,1,1333,1333,1333,1333,539,539,539,539
46,Northern Glaciated Plains,500,Oak-hickory,6,796,825,537,1025,322,334,217,415
46,Northern Glaciated Plains,700,Elm-ash-cottonwood,2,483,483,455,512,196,196,184,207
46,Northern Glaciated Plains,990,Exotic hardwoods,1,908,908,908,908,367,367,367,367
