state_abbr,STATECD,us_l3code,us_l3name,n_plots,sdimax_m_mean,sdimax_m_median,sdimax_m_p10,sdimax_m_p90,sdimax_e_mean,sdimax_e_median,sdimax_e_p10,sdimax_e_p90
GA,13,65,Southeastern Plains,2216,831,781,470,1267,336,316,190,513
GA,13,45,Piedmont,1598,884,861,558,1233,358,349,226,499
GA,13,75,Southern Coastal Plain,1006,862,826,486,1299,349,334,196,526
GA,13,66,Blue Ridge,493,955,934,660,1272,386,378,267,515
GA,13,67,Ridge and Valley,268,826,798,542,1148,334,323,219,464
GA,13,68,Southwestern Appalachians,28,878,882,629,1117,355,357,255,452
ME,23,82,Acadian Plains and Hills,1691,1006,965,579,1486,407,390,234,601
ME,23,58,Northeastern Highlands,1443,1029,974,629,1507,416,394,255,610
ME,23,59,Northeastern Coastal Zone,111,1028,1011,645,1421,416,409,261,575
MN,27,50,Northern Lakes and Forests,4040,826,788,468,1222,334,319,190,494
MN,27,49,Northern Minnesota Wetlands,1257,839,776,431,1311,339,314,174,531
MN,27,51,North Central Hardwood Forests,884,782,748,397,1219,317,303,160,493
MN,27,52,Driftless Area,269,783,726,374,1178,317,294,151,477
MN,27,48,Lake Agassiz Plain,257,719,702,415,1063,291,284,168,430
MN,27,47,Western Corn Belt Plains,142,855,776,424,1458,346,314,172,590
MN,27,46,Northern Glaciated Plains,16,694,756,363,939,281,306,147,380
WA,53,77,North Cascades,1969,1162,1070,497,1950,470,433,201,789
WA,53,15,Northern Rockies,1422,863,800,436,1377,349,324,176,557
WA,53,4,Cascades,1229,1337,1285,678,2036,541,520,274,824
WA,53,1,Coast Range,1038,1322,1234,697,2075,535,500,282,840
WA,53,2,Puget Lowland,549,1132,1040,578,1771,458,421,234,717
WA,53,9,Eastern Cascades Slopes and Foothills,535,968,887,442,1590,392,359,179,643
WA,53,10,Columbia Plateau,147,711,635,388,1081,288,257,157,438
WA,53,11,Blue Mountains,134,827,783,375,1300,335,317,152,526
WA,53,3,Willamette Valley,15,831,834,520,1272,336,337,210,515
