TYPGRPCD,typgroup_label,n_plots,sdimax_m_mean,sdimax_m_median,sdimax_m_p10,sdimax_m_p90,sdimax_e_mean,sdimax_e_median,sdimax_e_p10,sdimax_e_p90
200,Douglas-fir,2725,1116,1034,566,1775,451,418,229,718
900,Aspen-birch,2398,881,835,511,1296,356,338,207,524
120,Spruce-fir,2323,953,897,468,1521,386,363,189,616
500,Oak-hickory,2038,865,831,541,1233,350,336,219,499
800,Maple-beech-birch,1590,922,881,595,1295,373,357,241,524
160,Loblolly-shortleaf pine,1489,884,855,557,1235,358,346,225,500
260,Fir-spruce-mountain hemlock,1054,1291,1203,589,2072,522,487,238,839
300,Hemlock-Sitka spruce,919,1542,1507,873,2213,624,610,353,896
400,Oak-pine,751,873,848,499,1266,353,343,202,512
700,Elm-ash-cottonwood,731,833,790,451,1269,337,320,182,514
140,Longleaf-slash pine,606,755,720,446,1089,306,291,180,441
600,Oak-gum-cypress,575,1036,998,605,1497,419,404,245,606
100,White-red-jack pine,563,1020,987,617,1483,413,400,250,600
220,Ponderosa pine,554,705,646,368,1121,285,262,149,454
910,Alder-maple,373,1118,1018,636,1738,453,412,257,703
999,Nonstocked,318,786,677,339,1369,318,274,137,554
280,Lodgepole pine,224,901,854,486,1374,365,346,197,556
320,Western larch,150,1008,941,560,1501,408,381,227,607
960,Other hardwoods,143,707,695,308,1111,286,281,124,450
990,Exotic hardwoods,42,624,530,271,1101,252,214,109,446
920,Western oak,34,772,689,428,1240,312,279,173,502
360,Other western softwoods,24,833,791,409,1380,337,320,165,558
170,Other eastern softwoods,9,563,621,239,782,228,251,97,317
380,Exotic softwoods,7,997,923,674,1428,404,373,273,578
240,Western white pine,3,794,730,563,1051,321,295,228,425
980,Tropical hardwoods,1,1596,1596,1596,1596,646,646,646,646
