"ft_group","ecoregion","owner4","n_plots","cell_key","flag"
"Northern hardwood","ME_APH","NIPF",338,"Northern hardwood|ME_APH|NIPF","ok"
"Northern hardwood","ME_NCZ","NIPF",334,"Northern hardwood|ME_NCZ|NIPF","ok"
"Spruce-fir","ME_NH","Industrial",329,"Spruce-fir|ME_NH|Industrial","ok"
"Spruce-fir","ME_APH","NIPF",326,"Spruce-fir|ME_APH|NIPF","ok"
"Spruce-fir","ME_NH","NIPF",300,"Spruce-fir|ME_NH|NIPF","ok"
"Northern hardwood","ME_NH","Industrial",281,"Northern hardwood|ME_NH|Industrial","ok"
"Other","ME_APH","NIPF",275,"Other|ME_APH|NIPF","ok"
"Northern hardwood","ME_NH","NIPF",243,"Northern hardwood|ME_NH|NIPF","ok"
"Northern hardwood","ME_NCZ","Industrial",176,"Northern hardwood|ME_NCZ|Industrial","ok"
"Spruce-fir","ME_NCZ","NIPF",163,"Spruce-fir|ME_NCZ|NIPF","ok"
"White/Red pine","ME_APH","NIPF",152,"White/Red pine|ME_APH|NIPF","ok"
"Spruce-fir","ME_APH","Industrial",143,"Spruce-fir|ME_APH|Industrial","ok"
"Northern hardwood","ME_APH","Industrial",123,"Northern hardwood|ME_APH|Industrial","ok"
"Spruce-fir","ME_NCZ","Industrial",123,"Spruce-fir|ME_NCZ|Industrial","ok"
"Aspen-birch","ME_APH","NIPF",107,"Aspen-birch|ME_APH|NIPF","ok"
"Other","ME_APH","Industrial",92,"Other|ME_APH|Industrial","ok"
"Oak/Pine/Hemlock","ME_APH","NIPF",92,"Oak/Pine/Hemlock|ME_APH|NIPF","ok"
"Aspen-birch","ME_NH","NIPF",77,"Aspen-birch|ME_NH|NIPF","ok"
"Aspen-birch","ME_NH","Industrial",76,"Aspen-birch|ME_NH|Industrial","ok"
"Other","ME_NCZ","NIPF",70,"Other|ME_NCZ|NIPF","ok"
"Spruce-fir","ME_NH","State",70,"Spruce-fir|ME_NH|State","ok"
"Aspen-birch","ME_NCZ","NIPF",67,"Aspen-birch|ME_NCZ|NIPF","ok"
"Northern hardwood","ME_NCZ","State",64,"Northern hardwood|ME_NCZ|State","ok"
"Other","ME_NH","NIPF",61,"Other|ME_NH|NIPF","ok"
"Aspen-birch","ME_APH","Industrial",53,"Aspen-birch|ME_APH|Industrial","ok"
"Northern hardwood","ME_NH","State",52,"Northern hardwood|ME_NH|State","ok"
"White/Red pine","ME_APH","Industrial",50,"White/Red pine|ME_APH|Industrial","ok"
"Aspen-birch","ME_NCZ","Industrial",49,"Aspen-birch|ME_NCZ|Industrial","ok"
"Northern hardwood","ME_APH","Public-Other",44,"Northern hardwood|ME_APH|Public-Other","ok"
