ecoregion,TYPGRPCD,n_cond
,100,6187
82,100,2
50,100,15
51,100,1
66,100,2
58,100,1
,120,10046
50,120,30
82,120,7
58,120,3
49,120,4
,140,4182
65,140,41
75,140,46
,160,23996
75,160,26
45,160,78
65,160,77
67,160,7
66,160,4
,170,1114
,180,10345
,200,8626
77,200,38
1,200,97
2,200,74
4,200,77
9,200,29
11,200,1
15,200,111
10,200,8
,220,6044
11,220,2
77,220,13
9,220,32
15,220,55
10,220,25
,240,49
1,240,1
,260,6143
4,260,9
1,260,2
77,260,20
2,260,4
15,260,10
9,260,14
11,260,3
10,260,2
,280,2812
1,280,1
2,280,2
77,280,2
15,280,11
9,280,4
,300,2086
1,300,82
4,300,17
77,300,22
2,300,16
15,300,11
,320,336
11,320,1
15,320,5
77,320,2
,340,105
,360,1815
9,360,1
,370,1209
,380,418
,390,3
,400,12651
66,400,9
50,400,5
65,400,34
45,400,28
68,400,1
67,400,2
75,400,11
,500,67108
45,500,65
65,500,65
67,500,17
66,500,26
68,500,1
52,500,1
82,500,1
75,500,5
51,500,1
,600,9092
75,600,42
65,600,46
45,600,7
,700,12432
50,700,4
45,700,6
65,700,4
2,700,8
4,700,1
1,700,2
10,700,1
15,700,2
3,700,1
77,700,1
75,700,1
47,700,1
67,700,1
82,700,1
,800,20687
59,800,1
82,800,4
58,800,7
50,800,4
51,800,1
,900,14737
58,900,3
10,900,1
9,900,1
82,900,2
51,900,1
50,900,47
49,900,2
77,900,3
15,900,3
,910,891
1,910,35
2,910,40
4,910,17
3,910,2
77,910,18
,920,1751
2,920,1
9,920,7
10,920,2
,940,490
,960,1394
1,960,3
15,960,2
82,960,1
45,960,1
50,960,3
,970,4368
,980,1124
,990,407
75,990,1
45,990,1
,999,5015
1,999,6
2,999,6
77,999,5
4,999,1
10,999,3
15,999,5
65,999,3
75,999,5
45,999,1
50,999,3
