state,vintage,rcp,cycle_match,year,obs_subj_agc_mmt,proj_subj_agc_mmt,bias_pct
GA,p1,45,1,2004,356.3,406,13.948919449901764
GA,p1,45,2,2009,311.6,267.3,-14.21694480102696
GA,p1,45,3,2014,210.8,206.2,-2.182163187855798
GA,p1,45,4,2019,179.8,224.5,24.860956618464954
GA,p1,45,5,2024,181.7,255.1,40.39625756741883
GA,p1,85,1,2004,356.3,406.8,14.173449340443444
GA,p1,85,2,2009,311.6,269.4,-13.543003851091157
GA,p1,85,3,2014,210.8,209.3,-0.7115749525616698
GA,p1,85,4,2019,179.8,224.9,25.083426028921018
GA,p1,85,5,2024,181.7,265.9,46.34012107870115
ME,r21,45,1,2004,256.6,255.8,-0.311769290724868
ME,r21,45,2,2009,167.2,113.8,-31.9377990430622
ME,r21,45,3,2014,126.5,119.6,-5.4545454545454595
ME,r21,45,4,2019,109.9,114.5,4.185623293903543
ME,r21,45,5,2024,108.8,122.5,12.591911764705884
MN,p1,45,1,2004,178.9,185.5,3.689211850195637
MN,p1,45,2,2009,145,99,-31.724137931034484
MN,p1,45,3,2014,92.8,79.5,-14.331896551724135
MN,p1,45,4,2019,83.9,89.6,6.79380214541119
MN,p1,45,5,2024,79.8,93.7,17.418546365914793
MN,p1,85,1,2004,178.9,185.5,3.689211850195637
MN,p1,85,2,2009,145,97.8,-32.55172413793104
MN,p1,85,3,2014,92.8,79.6,-14.224137931034486
MN,p1,85,4,2019,83.9,89.4,6.555423122765196
MN,p1,85,5,2024,79.8,94.9,18.92230576441104
WA,p1,45,4,2019,311.7,232.7,-25.344882900224576
WA,p3,45,4,2019,317,237.6,-25.047318611987386
WA,p1,85,4,2019,311.7,234.3,-24.831568816169387
WA,p3,85,4,2019,317,235.3,-25.772870662460562
