scenario,cycle,mean_ba_mean,mean_ba_lo,mean_ba_hi,mean_vol_mean,mean_vol_lo,mean_vol_hi,mean_carbon_mean,mean_carbon_lo,mean_carbon_hi,total_tpa_mean,total_tpa_lo,total_tpa_hi,harvest_rate_mean,harvest_rate_lo,harvest_rate_hi,plant_rate_mean,plant_rate_lo,plant_rate_hi,gr_ratio_mean,gr_ratio_lo,gr_ratio_hi,n_sims
BAU,1,89.18083310360525,88.02672168618497,90.14212944181128,1521.7693884763391,1496.2677617743511,1545.723308373003,43717.86908293732,43095.22578426894,44336.48051832334,743.030004995545,725.4579195541185,762.2388407661535,0.08828852256739221,0.08184331542312998,0.09497934946531394,0.0752294745319308,0.06978581613815718,0.08137568229467901,3.41879016276041,3.0868047066130613,3.77721324505064,100
BAU,2,89.22778010300796,88.06778352209083,90.41310801250907,1576.7944797126079,1546.5485173509687,1599.3270517585934,44733.09522392424,44025.588722432876,45369.11724315614,759.6716525599695,739.725726785246,782.1631632484473,0.083591604836331,0.07817098911845535,0.0898909131900304,0.07123824341369292,0.06605112624797055,0.07807650468573057,5.5295308370664795,4.955882392152091,6.057644230651031,100
BAU,3,87.63716185288285,86.60328750228629,88.79175072968155,1603.6342498967147,1575.9146930588674,1634.3418790605338,44868.353373776496,44210.37639822777,45593.088938822664,770.8868598331574,748.1280698656808,798.1641937314185,0.07933607508229071,0.07444810212407707,0.08560218955448082,0.06758898249338983,0.06306029399646955,0.07316243818521631,5.612783700725423,5.049577198539772,6.101058497658524,100
BAU,4,84.80297618563972,83.58959088134038,86.00270596347448,1604.40437733517,1570.2115775563075,1636.2071743668348,44267.22741585347,43599.79908562924,45077.22351156891,784.6331257324425,756.9321954606487,818.4431224944083,0.07493819263841599,0.06630926346499756,0.08150002709814386,0.06706556645668448,0.05877136178743021,0.07358642448779483,5.675733661007467,5.040255206574313,6.425822922325937,100
BAU,5,80.75516398921431,79.47310580772833,81.93936863018502,1577.455843766685,1541.1946443484617,1611.101520374128,42920.65014680482,42128.59044552961,43750.5637828004,813.2314670121559,781.9538148925078,854.6537596709461,0.07098955049088895,0.06385469186923842,0.07887955461417273,0.06390521830325033,0.056905483622151816,0.07132393955637359,5.661260684197552,4.8407566705426355,6.321081341884745,100
BAU,6,75.97488331239738,74.4998044303702,77.34697328468661,1530.0202161838133,1486.4368904968542,1564.086625429663,41077.546762068465,40187.9409605418,41825.59070654186,869.7848113210043,821.2867777496698,928.2109717584219,0.0670337376504532,0.05921335313636285,0.074434865313312,0.06092126174145888,0.05245260170935476,0.06848030956747903,5.8166621913175804,5.118101926957053,6.488664976140934,100
BAU,7,70.97170035192552,69.48681773675465,72.54679777965691,1466.671123488889,1422.0377269735595,1506.578294938617,38942.15121218625,37966.68062019299,39830.45695690102,970.0400553026224,900.375090248327,1060.2804949430497,0.06388413240362224,0.05719225724479693,0.07109111137982513,0.05850303662082378,0.05187253988533437,0.06630932072321725,5.9949873602174355,5.129185549261898,6.876501249322994,100
BAU,8,66.26762354257649,64.38920953899174,68.22051010413225,1398.70337074175,1346.6733505539132,1441.7809861229653,36789.93005443263,35720.35633020912,37753.374186323665,1140.2895224684403,1021.7379869867927,1302.5006819191149,0.060449457940307996,0.051468709316738206,0.06772947399033982,0.055792340183533226,0.047315381856782676,0.06276754380021951,6.205182138134207,5.361099886911448,7.115566265377266,100
BAU,9,62.049719175695486,60.182658729195296,64.10203714415377,1331.04318147545,1269.5472479590217,1379.2936567596134,34737.98470153677,33575.47245603673,35776.10667346047,1415.1267323304435,1249.5287075688072,1683.0219373768455,0.05704080644914022,0.04810645032132149,0.06523852409067647,0.05298891436221338,0.044754820804090864,0.060214540023803845,6.396774229804877,5.456639135224958,7.337845698832863,100
BAU,10,58.26410162309128,56.32652273191843,60.45864692435869,1266.2026704755333,1204.0790232015484,1328.3004210984673,32819.0995005224,31616.75985253177,34051.08082358225,1841.1232610174509,1578.561988814066,2280.105693437492,0.054508003693261746,0.04641250028228412,0.06210436609941883,0.05024282406312457,0.04131060205065559,0.05759887747893658,6.634940312962551,5.911663789222978,7.569590318431731,100
