scenario,cycle,mean_ba_mean,mean_ba_lo,mean_ba_hi,mean_vol_mean,mean_vol_lo,mean_vol_hi,mean_carbon_mean,mean_carbon_lo,mean_carbon_hi,total_tpa_mean,total_tpa_lo,total_tpa_hi,harvest_rate_mean,harvest_rate_lo,harvest_rate_hi,plant_rate_mean,plant_rate_lo,plant_rate_hi,gr_ratio_mean,gr_ratio_lo,gr_ratio_hi,n_sims
BAU,1,109.58995223194633,107.95724824279424,111.40731843868089,3120.2587867454927,3049.416568718865,3177.9490599604655,62329.58636915606,61014.54397199246,63413.62768945856,341.07161430912953,332.4246301719882,350.1004853227421,0.09767674918194146,0.09140757898996892,0.10268371716571431,0.049508338248941464,0.044859894787699126,0.05417453778735566,4.308226757619279,3.9079823533938924,4.6653786387637215,100
BAU,2,108.88411341839094,107.17712251851547,110.72728463578937,3182.8265205761054,3115.2900677796297,3247.219186176855,63499.34372133822,62251.932719055316,64693.872770318834,354.5366347242256,341.13822389197435,367.4012319549971,0.0941827615175234,0.08807928423166711,0.10087665143844919,0.04592419615239206,0.04153992735794437,0.05177843982368287,6.2544513356104465,5.589328993253201,6.942241010197396,100
BAU,3,105.40776124422815,103.12262527404852,107.7515847083979,3193.694270371394,3106.6618361725214,3279.479022366634,63410.302275008515,61734.77120947291,65199.30105711019,371.8355847860992,353.36547350527223,391.85305593410527,0.09190976127209133,0.08675958891849979,0.09753905193941578,0.04421352596325366,0.04039337588495763,0.04910523208105406,6.491698760877363,5.88018701503675,7.319506842324065,100
BAU,4,100.65095660136649,97.90993955004937,103.41351046910569,3191.213332975473,3082.3346556420784,3306.4940032782906,62778.16064039411,60619.69754699804,64680.125306665635,396.54108617500367,372.4668912891916,428.63142207267157,0.08910683043866406,0.08126778027878127,0.09566543980782888,0.04225429127026687,0.03731054011724247,0.046759261255763865,6.672814774002933,5.914966286286914,7.6918780342858515,100
BAU,5,94.27958236753274,91.50513889592318,97.17552342491757,3133.4167678017216,2984.1162695365674,3260.1346280475145,60965.28893198068,58217.91589019182,63337.06441170804,433.4986918746839,396.4965703853476,472.58281093305266,0.08652894585918866,0.0814983586888664,0.09266482753812365,0.04070917038320766,0.0362034808077269,0.045892914919603886,6.7396055663448395,5.888874659697981,7.939456854875072,100
BAU,6,87.5165170304607,84.43178804662699,90.56539969560976,3042.3698701396875,2883.284091328107,3187.8990108781927,58497.17959400813,55444.92242844519,60985.907211963946,490.09995310900996,434.30537220788574,560.6656453425685,0.08292087719499043,0.07609798881424965,0.08967646240852419,0.03890387116068313,0.03300452722361781,0.043920952130307306,6.983226951547953,5.9965729655727,8.295520632283084,100
BAU,7,81.37651064130527,77.92451652846691,84.47922956727172,2950.0831172214553,2758.800510208396,3155.51750312968,56041.067525096376,52461.01031888285,59418.51191583014,574.6774244827807,490.3637221443139,686.3687608686239,0.07917170820090022,0.07181254520145106,0.08644683643674389,0.037199709979032075,0.03229881098462853,0.04253082421975297,7.115581876769743,5.965672324411007,8.196728984508141,100
BAU,8,75.5089832323232,71.5661753870549,78.9731728160855,2832.464076317861,2616.7307549801535,3069.8658334077945,53235.0088962526,49552.86006413058,57690.027754348615,712.1356100511053,576.1629843473465,892.5511423437222,0.07598720273121455,0.06928905917355366,0.0832224048373637,0.03655190789619208,0.030743137918832517,0.042078020019196485,7.178719691507195,6.2536162887961755,8.33860210671686,100
BAU,9,70.04822352990323,66.59144555779316,74.57848132341289,2703.0028750342217,2489.2018084241267,2981.328196218009,50274.18879343841,46645.04020382237,54321.314187827535,917.3215211098145,679.2991798499561,1249.1958482215841,0.07118659610142554,0.06334789766970618,0.07994926540333909,0.034970428847400675,0.029414363857409427,0.040771209315325116,7.315132758168884,5.921759641955272,8.728336559190087,100
BAU,10,64.9271533781161,61.53459081756138,70.2589669230981,2557.303706397101,2333.738660016618,2934.4296598691944,47169.44744400942,43668.34254036195,52844.68713583099,1236.3958867151482,808.2839851978713,1870.7462478001482,0.06909221570615633,0.06260778609754693,0.07642478899294713,0.03471992035942327,0.029672111704927874,0.040287455413748556,7.43730528555406,6.104540189168086,9.096049570740629,100
