rcp,has_econ,cycle,year,carbon_lbac,statewide_agc_tgc,harvest_rate_mean,gr_ratio_mean
RCP 4.5,no econ,1,2004,43970.3161137177,351.0246718291005,0.08930068598670209,4.7514689996278503e-4
RCP 4.5,with econ,1,2004,43845.62440904718,350.02923061829415,0.08930068598670209,3.463602848864336
RCP 4.5,no econ,5,2024,47874.011170730984,382.18872515919406,0.08804751910100189,5.178276022825087e-4
RCP 4.5,with econ,5,2024,46322.09627365395,369.79944835608273,0.06647717288690258,3.61334985885717
RCP 4.5,no econ,10,2049,41173.79185948251,328.69940570942447,0.08467839841270333,5.541088327077014e-4
RCP 4.5,with econ,10,2049,36497.987647180096,291.371435746331,0.04324122227357235,4.026892718457904
RCP 4.5,no econ,15,2074,32087.127811856535,256.1585748204671,0.0842932282377515,6.564255790607077e-4
RCP 4.5,with econ,15,2074,26449.278930373937,211.15039138311667,0.02669569216038815,5.360760705457204
RCP 8.5,no econ,1,2004,44240.10044152611,353.17841925471976,0.08930068598670209,4.7514689996278503e-4
RCP 8.5,with econ,1,2004,44114.452889295695,352.17534730332085,0.08930068598670209,3.463602848864336
RCP 8.5,no econ,5,2024,50721.07625761816,404.91746982448143,0.0879368806592088,5.084013656587092e-4
RCP 8.5,with econ,5,2024,48884.73413388906,390.2575481245585,0.06674551688372075,3.525355401858542
RCP 8.5,no econ,10,2049,46717.34045540222,372.95476929650374,0.0848990170617899,5.240728252196963e-4
RCP 8.5,with econ,10,2049,40261.2397750008,321.41430238759017,0.04271256770572532,3.8773818731783183
RCP 8.5,no econ,15,2074,37891.53949564885,302.4964656192223,0.08461384371035856,6.156057702764011e-4
RCP 8.5,with econ,15,2074,28850.90838218913,230.32312573413319,0.02678551010277732,4.855182283080133
