TYPGRPCD,area_ha,pct_area,source,state,side,GROUP_NAME
100,141.350415239364,0.0584551424333032,ME_subject,ME,subject,White / red / jack pine group
100,229.297514906628,0.0510031685054459,ME_donor,ME,donor,White / red / jack pine group
100,235.24117339631,0.0577369806242565,MN_subject,MN,subject,White / red / jack pine group
100,1011.868173651,0.0887897353288328,MN_donor,MN,donor,White / red / jack pine group
100,4.523379383744,0.00156565444809455,GA_subject,GA,subject,White / red / jack pine group
100,44.23768757646,0.00351110995846269,GA_donor,GA,donor,White / red / jack pine group
120,801.035388676858,0.33126636140353,ME_subject,ME,subject,Spruce / fir group
120,116.8020111268,0.0259805373717242,ME_donor,ME,donor,Spruce / fir group
120,936.042870887732,0.229739923159073,MN_subject,MN,subject,Spruce / fir group
120,1202.25848733737,0.105496166069105,MN_donor,MN,donor,Spruce / fir group
120,4.773365661838,0.000378858223131481,GA_donor,GA,donor,Spruce / fir group
140,410.08654478715,0.14194118345614,GA_subject,GA,subject,Longleaf / slash pine group
140,733.07010986574,0.0581831895835932,GA_donor,GA,donor,Longleaf / slash pine group
160,0.404686,0.000167356974018821,ME_subject,ME,subject,Loblolly / shortleaf pine group
160,26.272357164786,0.00584382024400259,ME_donor,ME,donor,Loblolly / shortleaf pine group
160,8.074524528962,0.000708525986389982,MN_donor,MN,donor,Loblolly / shortleaf pine group
160,873.6844158398,0.302403971863681,GA_subject,GA,subject,Loblolly / shortleaf pine group
160,3280.84524907269,0.260398069096267,GA_donor,GA,donor,Loblolly / shortleaf pine group
170,4.524372078502,0.00100636638646144,ME_donor,ME,donor,Other eastern softwoods group
170,4.117488228836,0.00101058558183776,MN_subject,MN,subject,Other eastern softwoods group
170,15.022823297992,0.00131822755103334,MN_donor,MN,donor,Other eastern softwoods group
170,1.214058,0.000420215760538637,GA_subject,GA,subject,Other eastern softwoods group
170,70.035566593686,0.00555866702771595,GA_donor,GA,donor,Other eastern softwoods group
180,11.737672999656,0.00102996112157126,MN_donor,MN,donor,Pinyon / juniper group
180,60.237366222412,0.0110264524509733,WA_donor,WA,donor,Pinyon / juniper group
200,1.082705422806,0.000240828633243675,ME_donor,ME,donor,Douglas-fir group
200,1.340359691228,0.000117614315113954,MN_donor,MN,donor,Douglas-fir group
200,835.633501867522,0.416342314726438,WA_subject,WA,subject,Douglas-fir group
200,1745.57003316574,0.319526668869939,WA_donor,WA,donor,Douglas-fir group
220,130.600586026626,0.0114599824058644,MN_donor,MN,donor,Ponderosa pine group
220,179.884295243366,0.0896247502011119,WA_subject,WA,subject,Ponderosa pine group
