state,rcp,cycle,year,per_ac_carbon_lbac,statewide_agc_tgc,per_ac_vol_cuft,statewide_vol_bcuft
GA,45,1,2004,35214.16540154361,396.1270200778608,1325.519715251874,32.872888938246476
GA,45,5,2024,46203.40234562583,519.7458431835763,1984.130302313207,49.20643149736754
GA,45,10,2049,47731.67690703158,536.9375284320339,2266.0964191282974,56.199191194381775
GA,45,15,2074,42635.74793179776,479.6130075618243,2067.4209245235493,51.27203892818403
GA,85,1,2004,35281.113021362115,396.880119316125,1328.032807636215,32.93521362937813
GA,85,5,2024,47332.496841622706,532.4471193031561,2034.1159729239375,50.44607612851366
GA,85,10,2049,51641.159244842005,580.9156142638221,2469.9780075817116,61.25545458802645
GA,85,15,2074,49640.489415043485,558.4099160937604,2448.7670449041248,60.7294227136223
MN,45,1,2004,33650.22070345183,265.5843938221701,1240.7446657414505,21.588957183901233
MN,45,5,2024,35219.96926474898,277.9736355980067,1407.8229784225746,24.496119824552796
MN,45,10,2049,29799.262853829303,235.19070591325803,1262.3767030878705,21.965354633728943
MN,45,15,2074,22375.21380197859,176.59639283228705,943.9418945028092,16.424588964348878
MN,85,1,2004,33676.58580086883,265.7924803746258,1241.6836611564304,21.605295704121886
MN,85,5,2024,35423.99554883806,279.5839132084008,1415.1126177924968,24.622959549589442
MN,85,10,2049,30090.38177680975,237.48836224577636,1273.9144878014044,22.166112087744438
MN,85,15,2074,22595.585319252245,178.33567520866657,945.5618919896268,16.452776920619506
WA,45,1,2004,62569.1059082604,624.3786095170723,3132.6477235455086,68.9182499180012
WA,45,5,2024,58428.97297223207,583.0641235852552,3012.4535275946473,66.27397760708223
WA,45,10,2049,39083.968692209295,390.01986159480515,2062.891858538008,45.38362088783617
WA,45,15,2074,25110.958434504784,250.58285688092565,1309.9528754279374,28.818963259414623
WA,85,1,2004,62642.44554145324,625.1104674768549,3136.2624674677445,68.99777428429039
WA,85,5,2024,59505.159579751715,593.8034155701723,3070.5821097255316,67.55280641396169
WA,85,10,2049,41493.95436408319,414.0691664540909,2194.9022129991727,48.28784868598181
WA,85,15,2074,27667.859241593927,276.0982314004876,1450.7522362176926,31.916549196789237
