state,rcp,cycle,p2,p3,p3lite
GA,45,1,NA,NA,"5.605 (5.282, 5.923)"
GA,45,5,NA,NA,"5.064 (4.711, 5.314)"
GA,85,1,NA,NA,"5.605 (5.282, 5.923)"
GA,85,5,NA,NA,"5.027 (4.715, 5.328)"
MN,45,1,NA,"3.945 (3.750, 4.196)",NA
MN,45,5,NA,"5.381 (4.922, 5.858)",NA
MN,85,1,NA,"3.945 (3.750, 4.196)",NA
MN,85,5,NA,"5.350 (4.892, 5.922)",NA
WA,45,1,"4.803 (4.352, 5.250)","4.308 (3.908, 4.665)",NA
WA,45,5,"7.449 (6.749, 8.320)","6.740 (5.889, 7.939)",NA
WA,85,1,"4.803 (4.352, 5.250)","4.308 (3.908, 4.665)",NA
WA,85,5,"7.384 (6.679, 8.057)","6.684 (5.866, 7.711)",NA
