cycle,sim,scenario,n_conditions,mean_ba,mean_vol,mean_carbon,total_tpa,n_harvested,harvest_rate,n_planted,plant_rate,gross_growth,mortality,harvest_removals,net_change,gr_ratio,climate_rcp
1,1,No_harvest,26613,70.3523190615213,1371.6718184081544,36627.22447303347,505.8711198351179,0,0,0,0,424.036808288546,96.00312341787232,0,328.0336848706737,Inf,4.5
2,1,No_harvest,24019,78.50822126633454,1677.3837605771998,43762.129857286665,544.3472739904321,0,0,0,0,520.0127981525559,275.1107346902347,0,244.90206346232117,Inf,4.5
3,1,No_harvest,23778,83.54791522289511,1989.4416562197553,50085.208299121565,577.7954236173663,0,0,0,0,491.2650585562399,408.2488739497151,0,83.0161846065248,Inf,4.5
4,1,No_harvest,23692,85.15212673507948,2257.329873685964,54878.12196017489,618.0186577484232,0,0,0,0,468.5976210227718,570.4963139329278,0,-101.898692910156,Inf,4.5
5,1,No_harvest,23612,84.38824465915398,2469.330583632512,57929.53066109821,675.2162004101957,0,0,0,0,448.3598867529294,711.9532646146882,0,-263.5933778617588,Inf,4.5
6,1,No_harvest,23545,82.66490855109927,2626.2122375319627,59807.164600945645,762.3440579531001,0,0,0,0,427.2799795408742,848.6234229990652,0,-421.34344345819096,Inf,4.5
7,1,No_harvest,23484,80.11539084137547,2728.870328446632,60579.62603101225,904.5339938937469,0,0,0,0,419.31236508310695,955.1662071408942,0,-535.8538420577872,Inf,4.5
8,1,No_harvest,23432,77.03515872731111,2814.7050623582063,60639.967555843716,1097.2224450433337,0,0,0,0,417.02746856937114,1038.8736254543708,0,-621.8461568849996,Inf,4.5
9,1,No_harvest,23387,73.90667543033237,2849.7615335439705,59997.945744798126,1402.7258704792046,0,0,0,0,405.0880623740445,1124.2068878354794,0,-719.1188254614349,Inf,4.5
10,1,No_harvest,23359,71.08200199193647,2888.5852103924617,59465.803544697184,1869.4563184143458,0,0,0,0,392.3646412573137,1187.3672353068562,0,-795.0025940495425,Inf,4.5
11,1,No_harvest,23335,68.23484105355176,2904.900522384053,58475.768366026925,2527.273351564345,0,0,0,0,395.70850711231765,1242.3276714907656,0,-846.619164378448,Inf,4.5
12,1,No_harvest,23313,65.33509715033426,2925.2108519338253,57299.205199778975,3654.717070717958,0,0,0,0,386.3035595726797,1279.7299246828816,0,-893.4263651102019,Inf,4.5
13,1,No_harvest,23297,62.355871935631136,2890.2489463173997,55508.7651814128,5575.748849716639,0,0,0,0,383.89360844688446,1336.0984482559295,0,-952.2048398090451,Inf,4.5
14,1,No_harvest,23288,59.80708850571308,2885.028948139637,54062.082371723096,8381.083935499666,0,0,0,0,386.29200942260366,1333.6402204889348,0,-947.3482110663311,Inf,4.5
15,1,No_harvest,23279,56.95108073982628,2830.1889405394136,52074.32932220556,13279.329847167479,0,0,0,0,384.42986297242743,1370.3899378979067,0,-985.9600749254794,Inf,4.5
1,2,No_harvest,26572,70.69919154805548,1376.3242995494159,36745.424642925034,506.95452528096223,0,0,0,0,426.19538334318486,98.90059184920975,0,327.29479149397514,Inf,4.5
2,2,No_harvest,23961,78.82236631482907,1684.0148197942976,43827.64964568123,544.7106934484743,0,0,0,0,512.279340447009,275.6697092831604,0,236.60963116384858,Inf,4.5
3,2,No_harvest,23718,83.84643866592147,1993.9452926488964,50094.18882484632,582.6915278980596,0,0,0,0,499.3941016437494,408.1942328241981,0,91.19986881955134,Inf,4.5
4,2,No_harvest,23626,85.62419573055176,2274.2135998935532,55001.21495034219,624.3462095203136,0,0,0,0,470.2961633503097,571.6180296541044,0,-101.32186630379465,Inf,4.5
5,2,No_harvest,23561,85.30103688032601,2499.6634953198377,58423.22799843106,684.3362012103379,0,0,0,0,445.17049880584324,737.302776549709,0,-292.1322777438658,Inf,4.5
