cycle,year,BAU,Harvest_m25_mill,Harvest_p25_pulp,Harvest_p50_biomass,No_harvest
1,5,"5.619 (5.369, 5.918)","7.499 (6.933, 8.069)","4.529 (4.364, 4.754)","3.772 (3.647, 3.932)","Inf (Inf, Inf)"
2,10,"6.310 (5.929, 6.674)","8.475 (7.822, 9.149)","5.053 (4.835, 5.415)","4.245 (4.045, 4.439)","Inf (Inf, Inf)"
3,15,"5.778 (5.501, 6.147)","7.641 (7.227, 8.181)","4.677 (4.443, 4.950)","3.908 (3.750, 4.111)","Inf (Inf, Inf)"
4,20,"5.412 (5.160, 5.746)","7.091 (6.822, 7.403)","4.371 (4.115, 4.634)","3.719 (3.552, 3.914)","Inf (Inf, Inf)"
5,25,"5.049 (4.723, 5.214)","6.707 (6.251, 7.248)","4.076 (3.780, 4.265)","3.442 (3.327, 3.606)","Inf (Inf, Inf)"
6,30,"4.918 (4.616, 5.208)","6.365 (5.985, 6.746)","3.967 (3.777, 4.176)","3.371 (3.168, 3.556)","Inf (Inf, Inf)"
7,35,"4.885 (4.504, 5.189)","6.383 (5.988, 6.888)","4.016 (3.801, 4.309)","3.361 (3.230, 3.558)","Inf (Inf, Inf)"
8,40,"4.920 (4.643, 5.297)","6.468 (6.126, 7.053)","4.015 (3.757, 4.300)","3.417 (3.283, 3.595)","Inf (Inf, Inf)"
9,45,"4.949 (4.486, 5.282)","6.388 (5.987, 6.854)","4.041 (3.822, 4.219)","3.417 (3.241, 3.604)","Inf (Inf, Inf)"
10,50,"4.936 (4.572, 5.314)","6.416 (5.996, 6.765)","4.043 (3.701, 4.290)","3.468 (3.187, 3.705)","Inf (Inf, Inf)"
11,55,"5.066 (4.570, 5.441)","6.646 (6.169, 7.120)","4.094 (3.839, 4.366)","3.497 (3.283, 3.858)","Inf (Inf, Inf)"
12,60,"5.102 (4.591, 5.544)","6.764 (6.262, 7.280)","4.169 (3.928, 4.507)","3.539 (3.227, 3.819)","Inf (Inf, Inf)"
13,65,"5.278 (4.893, 5.683)","6.920 (6.339, 7.397)","4.259 (3.904, 4.629)","3.580 (3.207, 3.893)","Inf (Inf, Inf)"
14,70,"5.324 (4.901, 5.895)","6.992 (6.405, 7.853)","4.299 (4.098, 4.754)","3.629 (3.383, 3.913)","Inf (Inf, Inf)"
15,75,"5.277 (4.671, 5.805)","7.020 (6.242, 7.661)","4.275 (3.954, 4.742)","3.614 (3.292, 3.920)","Inf (Inf, Inf)"
