scenario,cycle,mean_ba_mean,mean_vol_mean,mean_carbon_mean,total_tpa_mean,harvest_rate_mean,plant_rate_mean
BAU,1,67.7,1326.5,35274.9,496.7,9.9%,7.9%
BAU,2,72.2,1556.4,40338.9,518.8,9.6%,7.6%
BAU,3,74,1763.6,44234.8,538.6,9.3%,7.3%
BAU,4,73.4,1926.3,46754.7,561.4,8.9%,6.9%
BAU,5,71.2,2028.4,47838.8,596,8.7%,6.7%
BAU,6,68.4,2079.9,47866.8,650.9,8.3%,6.3%
BAU,7,65.5,2095.9,47205.8,730.5,8.0%,6.1%
BAU,8,62.6,2094,46185.5,844.6,7.7%,5.7%
BAU,9,59.9,2079.5,45047.8,1000.3,7.4%,5.4%
BAU,10,57.5,2058.4,43885.1,1227.2,7.2%,5.2%
BAU,11,55.5,2039.8,42855.2,1561,6.9%,5.0%
BAU,12,53.7,2015.5,41825.6,2064.2,6.7%,4.8%
BAU,13,52.2,1988.5,40863.8,2819.2,6.4%,4.6%
BAU,14,51,1967.6,40072.3,4073.7,6.3%,4.5%
BAU,15,49.9,1937,39300.4,6081.5,6.3%,4.5%
Harvest_m25_mill,1,68.4,1339.5,35654.1,500,7.5%,5.9%
Harvest_m25_mill,2,74,1591.4,41276.8,525.6,7.2%,5.7%
Harvest_m25_mill,3,76.6,1825.5,45821.3,549.9,7.1%,5.6%
Harvest_m25_mill,4,76.5,2015.3,48922,577.5,6.9%,5.3%
Harvest_m25_mill,5,74.6,2142.1,50451.5,617.8,6.7%,5.2%
Harvest_m25_mill,6,72,2219,50957.4,680.2,6.5%,4.9%
Harvest_m25_mill,7,69.1,2258.9,50643.5,773.9,6.3%,4.7%
Harvest_m25_mill,8,66.2,2275.6,49831.2,907.2,6.0%,4.5%
Harvest_m25_mill,9,63.4,2276.5,48860.8,1097.3,5.8%,4.3%
Harvest_m25_mill,10,60.9,2270.3,47859.2,1382.9,5.7%,4.2%
Harvest_m25_mill,11,58.8,2263.8,46935.7,1809.2,5.5%,4.0%
Harvest_m25_mill,12,56.8,2244.6,45909.6,2473.6,5.4%,3.9%
Harvest_m25_mill,13,55.1,2230,45089.6,3494.9,5.2%,3.8%
Harvest_m25_mill,14,53.6,2211.8,44215.8,5152.5,5.1%,3.7%
Harvest_m25_mill,15,52.2,2188,43397.8,7700.1,5.1%,3.7%
Harvest_p25_pulp,1,66.9,1314.3,34920.6,494.4,12.4%,9.9%
Harvest_p25_pulp,2,70.7,1524.7,39478.4,514.3,12.0%,9.4%
Harvest_p25_pulp,3,71.8,1708.3,42843.2,532,11.4%,8.9%
Harvest_p25_pulp,4,70.7,1843.8,44794.8,551.6,10.9%,8.5%
Harvest_p25_pulp,5,68.1,1921.5,45386.2,580.5,10.6%,8.1%
Harvest_p25_pulp,6,65.2,1952.9,45090,627.1,10.0%,7.7%
