scenario,cycle,mean_ba_mean,mean_ba_lo,mean_ba_hi,mean_vol_mean,mean_vol_lo,mean_vol_hi,mean_carbon_mean,mean_carbon_lo,mean_carbon_hi,total_tpa_mean,total_tpa_lo,total_tpa_hi,harvest_rate_mean,harvest_rate_lo,harvest_rate_hi,plant_rate_mean,plant_rate_lo,plant_rate_hi,gr_ratio_mean,gr_ratio_lo,gr_ratio_hi,n_sims
BAU,1,68.9240665005484,68.22598712755808,69.49370755883994,1240.4251517820758,1222.825707572361,1256.390847666245,33668.97929501495,33270.63973638666,34004.30215581312,546.3961000559398,539.1465939789492,553.8930781855729,0.09930227717382431,0.09562049647540848,0.102191424956969,0.08080140101382498,0.077333002705745807,0.08373223291508519,3.9447584094945674,3.749681680145968,4.195564850878153,100
BAU,2,69.44712621000737,68.76239469976353,70.18408673769412,1311.3990769612928,1293.0078056567604,1331.7545501461652,34750.71179694163,34331.10951156738,35235.51052382376,565.7963068043847,556.63702721278,576.8860361743663,0.09476339777961233,0.09095634605996686,0.09914195185216898,0.0770246479304136,0.07334303310021352,0.08084416344220713,5.496461149468109,5.129106890928624,5.875026633016367,100
BAU,3,68.23048070904107,67.50970100368953,69.04929344234809,1351.111260824728,1330.5313547842486,1372.8691985581747,34970.246160521325,34468.217482902415,35511.44806453033,573.406930400864,559.267367585363,589.3386088802592,0.09085021395880268,0.08721098804329265,0.09534601374308616,0.07382618496748351,0.07050786998939185,0.07774140692503846,5.431550889211011,5.050566174120036,5.772837097267534,100
BAU,4,66.15070560493803,65.3667774245582,67.0379108469974,1367.837923848175,1345.2499725214998,1398.7151512609948,34645.55127465146,34164.33852278867,35277.0536759963,587.258651363523,569.1063717097113,609.7287771077101,0.08649107459383445,0.08146752403389772,0.09135119487125394,0.07046233734309218,0.0659815450651164,0.07501726078351892,5.391054147982888,4.991951921886983,5.9604002092486175,100
BAU,5,63.16769493891276,62.3907715633287,64.37094577108292,1358.6059319834774,1336.0226345112765,1388.817049085098,33714.43385355263,33251.94477875393,34475.67781696997,609.0188229377611,582.6570847332464,647.1235041809056,0.08289291266352126,0.07812757721890409,0.08812048023590535,0.06772888188419128,0.06317405870425638,0.07288090159062459,5.350409124662696,4.891503588588055,5.921522936597265,100
BAU,6,59.63485828932032,58.62201266742731,60.86452002747332,1328.2567068639187,1293.651754251911,1360.4406047686812,32331.874786309247,31679.782970611675,33079.923856525966,647.2644420447859,606.6858976873602,704.5212902883944,0.0786236145249114,0.07436419312337325,0.08321262238830711,0.06450001375582885,0.06030077470384102,0.06835249966684709,5.410538673129118,5.002634238833838,5.922859242256592,100
BAU,7,55.9255499664362,54.92164723635438,57.20824606482361,1282.6605954951776,1238.9832519594584,1321.1470711574818,30702.124664302944,29936.855835338134,31434.83875689473,708.1261737078655,650.9211167136249,809.1746759027164,0.07552432869660745,0.07037007897106096,0.08240469043243853,0.062093997581241324,0.05689434902868966,0.06728360282540632,5.438918322108855,4.9806531979211295,6.072252406803083,100
BAU,8,52.435036165232425,51.31311636863555,53.76689431185445,1230.4574408225146,1183.0844297662472,1275.3676018693732,29049.665289349814,28216.58913271172,29839.553331627398,798.4421061478438,714.8784376976564,976.6502628220207,0.07218446491896509,0.06678973709687724,0.0773422601801185,0.05943347728576541,0.053992834568174934,0.06405411883432846,5.5573029756360395,5.042422237084586,6.1965207186720175,100
BAU,9,49.27279739089528,48.0452170759254,50.85102612934359,1175.4269254208643,1130.5886092836313,1223.1208953835278,27462.54918480616,26602.09941520528,28423.920592934955,927.0983561720612,798.7300510118067,1223.7380795207628,0.06852317485039917,0.0630712947644756,0.07449599818785865,0.05686976623477913,0.05254536673952556,0.06204424314053417,5.6133010712114615,5.074353390827395,6.282779322761215,100
BAU,10,46.471063119492285,45.18056071588344,48.320866876148806,1122.0328070166563,1075.4815782288256,1179.3765756702505,25996.65317019833,25092.083303087093,27129.16395679833,1121.2383680418236,882.463243477255,1623.8975466062248,0.06602544604995439,0.060108713703652145,0.07284477018040682,0.054814288362948355,0.049454207247191254,0.061047431653453166,5.7274750326950485,5.181126497903754,6.335944214332381,100
BAU,11,43.93098594478643,42.476294014597514,45.94774828448774,1070.1947463549063,1016.6270055666217,1132.450357257038,24626.808672310333,23764.750749303435,25861.569896696303,1415.8563143157241,1007.3553101084041,2238.424302916632,0.0632122413072668,0.057793558634690274,0.06957990104076608,0.05249091431596524,0.047246735031658015,0.058389077364128586,5.986798454564948,5.231231772475581,6.623436969734636,100
BAU,12,41.61028902192922,39.989858650611,43.74777630784993,1021.0047981624319,965.368474942587,1089.2415025484352,23369.441520900386,22447.969415231993,24717.13204581356,1875.7730639686422,1160.0093708189956,3291.411310255135,0.06040301728359895,0.05456855741248942,0.06706991850192345,0.050190768583174394,0.04496185436862103,0.05762051831123248,6.214127341875543,5.4867120955813435,6.972632805705839,100
BAU,13,39.51255154949526,37.9540807409372,41.74401624181983,973.9892064512999,921.8219113574053,1049.57306056452,22210.34441111482,21216.30727405515,23653.862862972004,2590.9746437048343,1422.3994706671783,5044.983209754704,0.05813006683718162,0.051666771314960246,0.0654620089311286,0.04824653718323203,0.041951787266377355,0.055434491363655004,6.4391699133207885,5.705908721328432,7.172953985772043,100
BAU,14,37.703573358700375,35.938063793133054,40.079316924477936,931.1753848670558,876.6828345894568,1016.4702456517775,21193.315622801972,20065.375439890664,22803.78997113255,3718.2993473368088,1768.617053475357,8004.917155521476,0.0562054372187329,0.050866126311289735,0.06414031663167703,0.046613559431358684,0.04112812488175786,0.05348919550132737,6.564378192488819,5.578540247729951,7.486936224354624,100
BAU,15,36.19861809062261,34.38927781596038,38.72161676767669,892.7731528561179,830.5420856799904,997.5450797380296,20315.03512184519,19112.82228025852,22045.46204942848,5558.043482230095,2178.1943948281996,11711.832576979094,0.05456951859828615,0.047790877475398535,0.06317540334648568,0.045310350229841506,0.039723198275849164,0.05327993388625635,6.749847585953988,5.976459902680648,7.620850748760654,100
Harvest_m25_mill,1,69.77867060351629,68.9950501689234,70.29180481252905,1255.0749235836965,1233.60453203709,1271.1281679685267,34084.30932900078,33600.42058690197,34440.19936046753,551.0842124362774,544.2563248423473,556.486784211348,0.07451390208386817,0.07134551081707671,0.07752677771476837,0.06057671528372401,0.05701423474308008,0.06314747759351128,5.244869519363157,4.86954800963275,5.7007996989268115,100
Harvest_m25_mill,2,71.29523847948934,70.51921785485925,72.10144067837248,1346.351847094516,1324.8119810484925,1373.1030986785615,35701.84220459283,35276.04266313884,36233.90818271027,576.0696515389111,566.3987052982329,586.0707678468832,0.07171557276503547,0.06852363663021832,0.075712846342549,0.058252261011075314,0.05473083314432156,0.061411383189063265,7.291936041912745,6.77914219239555,7.811633679088798,100
Harvest_m25_mill,3,70.69126123217494,69.94676524526763,71.48503102967848,1402.1818913283453,1377.6370777289285,1429.5080031779873,36321.34750910535,35813.038883856774,36896.26463216607,586.5463519577145,574.9510816917481,603.5104939814316,0.06972127483572887,0.06642417940557124,0.072656296744257165,0.05656057119417713,0.05360261633937982,0.05970328857698898,7.173507581802568,6.6708369424947485,7.788239033526427,100
Harvest_m25_mill,4,69.14095796259446,68.37639912499897,70.03994292661176,1436.4106194406506,1413.0184349625827,1467.757621910823,36374.48423071341,35891.460929742694,36972.8223337778,604.2135203014989,585.0655287769887,626.441098139987,0.06715784869677303,0.06382007575122538,0.07107918835231247,0.054634109854719226,0.050739427394022034,0.05828341400782641,7.063898244658689,6.561998497115141,7.705113829685393,100
Harvest_m25_mill,5,66.69534637971289,65.77912026564678,67.82548332695109,1446.143770417066,1415.9834006688188,1479.8181477383773,35835.78765399885,35128.901274481366,36570.43670906364,633.879726710786,606.3281482468296,664.0384395519013,0.06480842052790518,0.06068967247317637,0.06859959459691842,0.053148295050780524,0.049566749726599815,0.056684404817465256,7.032830684750002,6.474535419298412,7.761444908170125,100
Harvest_m25_mill,6,63.42283317403871,62.4481442419561,64.8296098578566,1430.8687330538219,1396.8938818551978,1471.063329719609,34716.68350997927,33981.08978690076,35595.45298055551,681.0361113223152,638.9453860760834,733.8509214102951,0.06207117692082949,0.05798590620883784,0.06588867334037596,0.05095626064536906,0.04759334955349974,0.05434346672418941,7.1101583176809955,6.4777186481617015,7.867209797265517,100
Harvest_m25_mill,7,59.68699205153728,58.57060507248022,61.09294195320646,1394.0408271889019,1353.3810735933562,1439.2437319861485,33180.00388720598,32323.920366855662,34179.40313904299,751.8306228065915,684.8465463471578,841.3388792929989,0.060397811944391165,0.05667324496327836,0.06600815836948568,0.0496474378813351,0.04577551859321957,0.05408355816391604,7.064613145875912,6.331605534712796,7.87095140456778,100
Harvest_m25_mill,8,56.002952620018895,54.86914351751646,57.53009766205018,1346.0442535525738,1301.912546510024,1392.4415000607323,31501.851726354158,30651.591316144044,32568.316449712554,855.81923199688,747.4188977403494,1010.7161711637565,0.05808973095537874,0.05408997307454625,0.06226467073314822,0.047909225036996454,0.04366482152230535,0.05156596827706852,7.157431180615548,6.329750887381092,7.9660779604273575,100
Harvest_m25_mill,9,52.57447883101518,51.381324221850065,54.21560973909787,1290.0342056905072,1248.1207506598757,1336.8456100539515,29816.46571117404,28958.85110813492,30860.703235789544,1008.2983056180141,833.0516371158094,1288.8460525446226,0.055452877756519484,0.05130052435564106,0.06029138927567404,0.046220471033452906,0.042646454408748036,0.050999940126071265,7.31868310595228,6.53328922725702,8.14614454376676,100
Harvest_m25_mill,10,49.42262926768207,48.03008139502078,51.04950170063407,1232.4454973530837,1188.6988607830576,1281.3218566111657,28188.55373907088,27230.964713310204,29186.991448655637,1234.3898647408905,934.5775472101325,1741.4578089621095,0.053952766875445965,0.0493011569204807,0.05903392430808953,0.04492600826075147,0.04077611921807803,0.04960838816381262,7.483037614324863,6.607092383980941,8.287952794491225,100
Harvest_m25_mill,11,46.51547524137288,45.10896288698342,48.179389407694956,1175.0119382159223,1131.7458715493408,1223.736456573719,26630.299372113102,25702.225090533168,27689.664326659942,1582.2746008042075,1106.3166825044302,2370.623596093589,0.05195783815609295,0.04642135097374674,0.05721805194943986,0.04345596787638709,0.03885358725880811,0.04827397973505142,7.869353147462527,6.978987226936679,8.819738365864138,100
Harvest_m25_mill,12,43.78310865068646,42.30998710337681,45.386568159644355,1116.379113578288,1063.7684337136423,1174.1072507297902,25136.63285403296,24041.835911220987,26269.875289573953,2116.302660192054,1325.6188323201327,3509.048526173912,0.050223308234764556,0.04517554355314593,0.05593818014148137,0.041975386825079994,0.03811489184935256,0.04654234783030946,8.093283649970838,7.1789412510532795,9.016942529847253,100
Harvest_m25_mill,13,41.299805084770824,39.858407313382585,42.976224206109165,1060.9264125219722,995.7995041047877,1124.4482015215476,23763.80133814048,22598.923783767044,24868.287356033594,2986.7945452827153,1665.9196424778816,5173.2247393436755,0.04858293024853279,0.04318723175990216,0.053374658883133454,0.0405957411793316,0.036349130731013174,0.04523007044172761,8.473737694451103,7.599408447448436,9.496402934925275,100
Harvest_m25_mill,14,39.119200294946275,37.61886476183395,40.951203815241044,1009.5506018773559,933.7788244969513,1083.1687902747149,22526.368643912054,21328.973944115394,23707.524606697232,4426.863026647699,2151.389010453844,7745.2132275288695,0.047299365485472866,0.04280525326172821,0.052746583948484374,0.03945933338939267,0.03579838213165103,0.04436346738080258,8.751950602175821,7.6275862405030335,9.939087693465211,100
