scenario,cycle,mean_ba_mean,mean_ba_lo,mean_ba_hi,mean_vol_mean,mean_vol_lo,mean_vol_hi,mean_carbon_mean,mean_carbon_lo,mean_carbon_hi,total_tpa_mean,total_tpa_lo,total_tpa_hi,harvest_rate_mean,harvest_rate_lo,harvest_rate_hi,plant_rate_mean,plant_rate_lo,plant_rate_hi,gr_ratio_mean,gr_ratio_lo,gr_ratio_hi,n_sims
BAU,1,68.93008039753771,68.4081475850757,69.42166659466774,1240.1082359556342,1225.5698153546805,1254.2043823289096,33670.76888586616,33336.21754625706,33994.792147722634,546.2217820977661,539.6519063909564,553.9321321388095,0.09953762791786386,0.09558154186037111,0.10257563036258421,0.0809568847527224,0.0776432048756959,0.08421480019436574,3.9419334372470387,3.7484097370076643,4.188829438018406,50
BAU,2,69.4617902439219,68.7536230245545,70.11533070027188,1311.6592017304708,1291.3369236615777,1331.8960538998538,34761.27375233282,34285.26060598032,35246.48076202227,565.4541266225023,556.8353822711264,575.1991403075755,0.09487057836966005,0.09153126762816675,0.0996622758609189,0.07716305370565757,0.07375006266397072,0.08124430387799522,5.475273511118928,5.102452568111355,5.79936199274787,50
BAU,3,68.2295012221712,67.49444743744573,69.12487452832193,1350.9192809166784,1329.3191629665391,1376.738339352654,34976.154512024215,34482.45478050571,35646.96597542035,572.9531132868725,562.454701892899,588.2877213019575,0.09083323308945575,0.08672233628542067,0.09433040851412278,0.07380562632349098,0.0702742394860721,0.07726165175467258,5.454338231045751,5.125905103627147,5.780208610400803,50
BAU,4,66.15135580036834,65.32622926547144,67.33912812263348,1367.6199476268023,1345.4354614266513,1399.8213329182818,34650.0148001139,34168.5311219708,35469.38644628485,586.9553948610674,572.5726701376175,606.8294316224413,0.0861752674305582,0.0816088852324213,0.0905851639153234,0.06995109593399856,0.06659027808073832,0.07350154560168962,5.383344005872208,4.987804600440599,6.038816231754005,50
BAU,5,63.160259558179625,62.33888884389016,64.5339899766675,1357.6554213189308,1335.5418426151375,1392.9468179143796,33717.75800335508,33160.16684590228,34544.783126968796,609.186675507748,585.0425543131253,640.0554351968087,0.08270512647152542,0.07820647682816884,0.08770585738621503,0.06744298947067534,0.0628514082843343,0.0721298468489991,5.400743049965209,4.888649947255395,5.864255430374276,50
BAU,6,59.6067114849281,58.59273778418705,60.99626423854322,1326.1597062688486,1290.2155851894186,1368.464832088498,32317.04561947476,31637.423315296153,33129.16397989433,647.3843918857151,614.6305793912826,703.179767157942,0.0786885765740652,0.07431790291725693,0.08321908038559088,0.06443830691754458,0.060286668334840345,0.06889518817537382,5.416272648108409,5.024085341993946,5.848067296083322,50
BAU,7,55.91394841252273,54.886905658450964,57.2439991930353,1279.883378958353,1243.669422150631,1322.0548354401626,30685.67022478138,29929.34644457089,31508.309367453236,706.5494357526516,659.4497190442703,802.3331384410317,0.07542862996060243,0.07073057669774019,0.0826135797137072,0.06211827657646911,0.05713510535860678,0.06737520787203402,5.507637807872566,5.021990447116282,6.098063663045369,50
BAU,8,52.4762187952483,51.31030597455781,53.7877083009616,1229.5362302088818,1188.2048037214581,1276.1697092216577,29069.908865329937,28222.01725029303,29907.143077891033,796.1348482525921,714.7040904892758,957.5993704961791,0.07167373547810424,0.06579162016081576,0.07612153479428482,0.05902481659181406,0.053973182699902075,0.06406718980395124,5.645269570635977,5.050229094647711,6.361591972148849,50
BAU,9,49.30794274385872,48.04082401522221,50.870497279803956,1174.6764646295958,1131.6742132347065,1224.1532825801407,27487.051254591915,26578.31306530349,28425.518354478205,919.8797511832945,798.6782975350806,1188.053452676739,0.06864803213067694,0.06445270792646886,0.07459038054968287,0.05690531213797208,0.05322872934797523,0.062160425622998956,5.629280336338961,5.108544657786954,6.252771984159472,50
BAU,10,46.505041626839976,45.14527948194337,48.35864012290291,1121.0642003989326,1074.020366239863,1180.7788778257175,26021.034844393846,25064.634064980302,27174.744575897843,1111.7386108506557,888.0047103065492,1576.2504884712573,0.06584975488056914,0.0602328113868654,0.0720420364561694,0.054577440562430773,0.04924100275508855,0.060403664033278015,5.789479560457167,5.221728221465047,6.383668833150096,50
BAU,11,44.009349382266926,42.520652277241126,45.980167794613564,1070.1643445305579,1016.2441979103235,1135.005017460003,24676.371930009434,23784.292000912552,26000.808768874103,1398.882841859876,1018.3633383975755,2137.173845316508,0.06313713607524125,0.05787045838400242,0.0694413417455671,0.05246808139796017,0.04854798399674858,0.05799455600334761,6.10302492517501,5.502236473070904,6.632278380317033,50
BAU,12,41.715762584346365,40.16429580619865,43.7844870910807,1021.5262700294506,971.8270213056513,1093.7354773745399,23422.20759927916,22498.729958567805,24804.02869885871,1841.3468016995027,1171.839732229173,3111.444251510639,0.060893281071470275,0.054571272820119705,0.06634170594565827,0.050693557846831626,0.04543596811931766,0.056780855295495376,6.269560360749426,5.572205470389302,6.995573983415072,50
BAU,13,39.65139035951939,38.041066959428534,41.81940082583402,973.5390490783998,927.8331278578282,1052.5588902805612,22271.866189575518,21353.064697684757,23677.15682352257,2516.4406824908324,1448.2727411171286,4416.842338354988,0.05806071109392568,0.051181809803194825,0.06568982196693016,0.04816474113640037,0.041802786528145223,0.05549336411102748,6.55889428446083,5.771975247524036,7.235435517504124,50
BAU,14,37.8749118660678,36.20039682967747,40.226016675591005,931.2618109269508,880.4888616127012,1025.7262324420226,21279.489717510285,20201.090753147877,22899.595030229157,3550.492995018726,1818.9203237812217,6749.618267860702,0.05630043917480765,0.050465762576685,0.0642214347469536,0.04678310753411938,0.04118708313677706,0.053461740358524225,6.697966176456956,5.744970074710936,7.556493743246047,50
BAU,15,36.3597536099874,34.66626550621229,38.886487833358004,892.5830015800221,836.6510422265071,996.56155504924,20399.60871813388,19166.72777595207,22018.505385438373,5238.474128486888,2229.7461515742298,10332.55078433304,0.054971672648972264,0.05012793291009169,0.06277006426537035,0.045566917662805975,0.040966817868176554,0.051879968805557924,6.749662921525719,6.065948044576641,7.984130243813973,50
Harvest_m25_mill,1,69.80363639699357,69.2313496592212,70.25845039326225,1255.1041840542625,1237.1587399019631,1268.2469417040868,34093.71402340605,33726.87329858456,34422.62944507503,550.913304698219,544.7258408234117,557.2370917892642,0.07472197174115942,0.07158705452068917,0.07724312171295955,0.06072546456398594,0.05754886519482379,0.06317054238397077,5.236204303434488,4.893418711334257,5.657782715000865,50
Harvest_m25_mill,2,71.3374584303051,70.6582434975905,72.08457030425714,1346.6531322046683,1326.0125054598498,1371.183117055602,35718.84994918941,35302.0267366014,36218.16768772833,576.238288759111,566.7171701044277,587.7545973130138,0.07161301682532126,0.06847093993715828,0.07574740293934606,0.05809630524227269,0.05460205098305049,0.06112197252998222,7.314836413494904,6.830620113708973,7.811823129148846,50
Harvest_m25_mill,3,70.70682721686697,70.0239602427195,71.44487057934249,1402.6023770475222,1379.1187920724512,1428.273157963612,36333.862055937236,35927.35950563555,36852.275003859635,586.6603799505311,575.225320697309,603.5360101853086,0.06982181270981694,0.06637796069233678,0.0726851171345197,0.05658908453120766,0.05361839316160332,0.059999821942358325,7.200698034230767,6.674743348129056,7.990697656383896,50
