scenario,cycle,mean_ba_mean,mean_vol_mean,mean_carbon_mean,total_tpa_mean,harvest_rate_mean,plant_rate_mean
BAU,1,68.9,1240.1,33670.8,546.2,10.0%,8.1%
BAU,2,69.5,1311.7,34761.3,565.5,9.5%,7.7%
BAU,3,68.2,1350.9,34976.2,573,9.1%,7.4%
BAU,4,66.2,1367.6,34650,587,8.6%,7.0%
BAU,5,63.2,1357.7,33717.8,609.2,8.3%,6.7%
BAU,6,59.6,1326.2,32317,647.4,7.9%,6.4%
BAU,7,55.9,1279.9,30685.7,706.5,7.5%,6.2%
BAU,8,52.5,1229.5,29069.9,796.1,7.2%,5.9%
BAU,9,49.3,1174.7,27487.1,919.9,6.9%,5.7%
BAU,10,46.5,1121.1,26021,1111.7,6.6%,5.5%
BAU,11,44,1070.2,24676.4,1398.9,6.3%,5.2%
BAU,12,41.7,1021.5,23422.2,1841.3,6.1%,5.1%
BAU,13,39.7,973.5,22271.9,2516.4,5.8%,4.8%
BAU,14,37.9,931.3,21279.5,3550.5,5.6%,4.7%
BAU,15,36.4,892.6,20399.6,5238.5,5.5%,4.6%
Harvest_m25_mill,1,69.8,1255.1,34093.7,550.9,7.5%,6.1%
Harvest_m25_mill,2,71.3,1346.7,35718.8,576.2,7.2%,5.8%
Harvest_m25_mill,3,70.7,1402.6,36333.9,586.7,7.0%,5.7%
Harvest_m25_mill,4,69.2,1437.2,36395.1,604.5,6.7%,5.5%
Harvest_m25_mill,5,66.7,1447.5,35866.5,634.5,6.5%,5.3%
Harvest_m25_mill,6,63.4,1432.2,34744,681.7,6.2%,5.1%
Harvest_m25_mill,7,59.7,1395.5,33212.3,753.1,6.0%,5.0%
Harvest_m25_mill,8,56,1347.3,31532.5,858,5.8%,4.8%
Harvest_m25_mill,9,52.6,1290.7,29836.7,1012.6,5.6%,4.6%
Harvest_m25_mill,10,49.4,1232.7,28215.1,1235,5.4%,4.5%
Harvest_m25_mill,11,46.6,1175.2,26659.8,1579.5,5.2%,4.3%
Harvest_m25_mill,12,43.8,1115.3,25155.5,2108.3,5.1%,4.2%
Harvest_m25_mill,13,41.4,1060.6,23794.3,2956.9,4.8%,4.0%
Harvest_m25_mill,14,39.2,1009.6,22571.7,4339.9,4.7%,3.9%
Harvest_m25_mill,15,37.4,961.9,21491,6571.8,4.7%,3.9%
Harvest_p25_pulp,1,68.1,1224.7,33234.4,542,12.4%,10.1%
Harvest_p25_pulp,2,67.7,1276.4,33814.3,556.2,11.7%,9.5%
Harvest_p25_pulp,3,65.9,1300.7,33688.9,561.7,11.1%,9.0%
Harvest_p25_pulp,4,63.2,1297.8,32965.4,570.4,10.4%,8.5%
Harvest_p25_pulp,5,59.9,1274.1,31766,587.6,9.9%,8.1%
Harvest_p25_pulp,6,56.3,1232.7,30235.7,619.3,9.3%,7.7%
Harvest_p25_pulp,7,52.6,1182.3,28577.9,668.9,8.9%,7.3%
Harvest_p25_pulp,8,49.4,1128.6,26987,745.3,8.4%,6.9%
Harvest_p25_pulp,9,46.5,1074.4,25503,854.3,8.0%,6.6%
Harvest_p25_pulp,10,44,1025,24179.4,1012.5,7.6%,6.2%
Harvest_p25_pulp,11,41.8,978.4,22984.3,1248.2,7.2%,6.0%
Harvest_p25_pulp,12,39.7,934.1,21881.5,1600.9,6.9%,5.7%
Harvest_p25_pulp,13,38,893.8,20894.6,2146.4,6.6%,5.5%
Harvest_p25_pulp,14,36.5,857.5,20045.1,2950.6,6.4%,5.2%
Harvest_p25_pulp,15,35.2,827.5,19336.6,4295.3,6.2%,5.1%
Harvest_p50_biomass,1,67.2,1209.8,32812.3,537.6,14.9%,12.1%
Harvest_p50_biomass,2,66,1243.7,32928.8,547.9,13.9%,11.3%
Harvest_p50_biomass,3,63.5,1250.4,32376.1,548.9,13.0%,10.6%
Harvest_p50_biomass,4,60.4,1235.9,31375.6,554.8,12.1%,9.9%
Harvest_p50_biomass,5,56.9,1200.2,29974.9,568.5,11.4%,9.3%
Harvest_p50_biomass,6,53.3,1153.3,28384,595.1,10.7%,8.8%
Harvest_p50_biomass,7,49.8,1100.4,26753.7,639.7,10.1%,8.3%
Harvest_p50_biomass,8,46.8,1048.9,25256.7,706,9.5%,7.7%
Harvest_p50_biomass,9,44.2,998.2,23891.1,798.7,9.0%,7.4%
Harvest_p50_biomass,10,42,953.5,22717,931.2,8.5%,7.0%
Harvest_p50_biomass,11,40.1,912,21663,1126.7,8.0%,6.6%
Harvest_p50_biomass,12,38.3,873.9,20716.5,1421.1,7.6%,6.3%
Harvest_p50_biomass,13,36.8,840.3,19866.7,1867,7.3%,6.0%
Harvest_p50_biomass,14,35.6,810.7,19157.5,2479.4,7.0%,5.7%
Harvest_p50_biomass,15,34.6,788.3,18606.9,3546.7,6.7%,5.5%
No_harvest,1,72.5,1301.9,35411.7,564.4,0.0%,0.0%
No_harvest,2,77.1,1457.9,38731.2,606.9,0.0%,0.0%
No_harvest,3,78.9,1573.4,40802.2,629.7,0.0%,0.0%
No_harvest,4,79.3,1668.1,42196.8,657.9,0.0%,0.0%
No_harvest,5,78.5,1739.1,42916.2,702.6,0.0%,0.0%
No_harvest,6,76.6,1786.7,42967.3,773.9,0.0%,0.0%
No_harvest,7,73.8,1807.4,42389.7,881.9,0.0%,0.0%
No_harvest,8,70.6,1808.7,41409.2,1041.7,0.0%,0.0%
No_harvest,9,67.2,1790.1,40100.9,1279.6,0.0%,0.0%
No_harvest,10,63.7,1759.6,38605.9,1631.4,0.0%,0.0%
No_harvest,11,60,1715.9,36890.5,2165,0.0%,0.0%
No_harvest,12,56.2,1661.2,35011,2989.6,0.0%,0.0%
No_harvest,13,52.4,1598.5,33051.9,4282.5,0.0%,0.0%
No_harvest,14,48.8,1530.1,31099.8,6393.8,0.0%,0.0%
No_harvest,15,45.4,1461.5,29226.1,9808.6,0.0%,0.0%
