year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
2003,270300,,16326,4838,201.8,184.9,,
2004,270400,1,18158,5221,200.3,178.9,185.5,6.6
2005,270500,,18206,5070,202.4,173.1,,
2006,270600,,18194,4934,203.7,165.6,,
2007,270700,,18170,4865,205.6,159.3,,
2008,270800,,18133,4766,207.5,153.8,,
2009,270900,2,18091,4469,211,145,97.8,-47.3
2010,271000,,18053,4112,211.2,133,,
2011,271100,,18022,3782,210.6,121.7,,
2012,271200,,18081,3445,209,109.6,,
2013,271300,,18087,3081,209.2,96.9,,
2014,271400,3,18103,2977,211.5,92.8,79.6,-13.2
2015,271500,,18112,2894,212.7,90.2,,
2016,271600,,18100,2843,218.1,90.6,,
2017,271700,,18086,2727,219,87.2,,
2018,271800,,18074,2645,221.5,84.9,,
2019,271900,4,18051,2599,223.5,83.9,89.4,5.5
2020,272000,,18038,2583,225.9,84.2,,
2021,272100,,18038,2582,228.6,83.5,,
2022,272200,,18038,2532,229.5,81.8,,
2023,272300,,18038,2470,228.9,80,,
2024,272400,5,18040,2449,229.8,79.8,94.9,15
