cycle,year,BAU,Harvest_m25_mill,Harvest_p25_pulp,Harvest_p50_biomass,No_harvest
1,5,"4.308 (3.908, 4.665)","5.744 (5.233, 6.384)","3.441 (3.191, 3.690)","2.867 (2.665, 3.113)","Inf (Inf, Inf)"
2,10,"6.267 (5.635, 6.899)","8.298 (7.286, 9.313)","5.042 (4.533, 5.681)","4.206 (3.805, 4.605)","Inf (Inf, Inf)"
3,15,"6.445 (5.770, 7.275)","8.532 (7.749, 9.468)","5.200 (4.661, 5.643)","4.387 (3.983, 4.874)","Inf (Inf, Inf)"
4,20,"6.635 (5.953, 7.585)","8.787 (7.581, 10.124)","5.323 (4.789, 5.914)","4.552 (4.090, 5.148)","Inf (Inf, Inf)"
5,25,"6.684 (5.866, 7.711)","8.798 (7.731, 9.879)","5.415 (4.871, 5.974)","4.634 (4.083, 5.250)","Inf (Inf, Inf)"
6,30,"6.887 (5.991, 7.932)","9.027 (7.566, 10.528)","5.630 (4.941, 6.506)","4.756 (4.194, 5.404)","Inf (Inf, Inf)"
7,35,"7.051 (6.032, 8.192)","9.286 (7.968, 10.994)","5.652 (5.078, 6.510)","4.787 (4.164, 5.549)","Inf (Inf, Inf)"
8,40,"7.102 (6.045, 8.361)","9.523 (8.215, 11.517)","5.707 (5.078, 6.801)","4.799 (4.273, 5.427)","Inf (Inf, Inf)"
9,45,"7.225 (5.940, 8.773)","9.447 (7.884, 11.149)","5.777 (4.889, 6.716)","4.831 (4.036, 5.488)","Inf (Inf, Inf)"
10,50,"7.250 (6.175, 8.723)","9.594 (7.960, 11.688)","5.823 (4.976, 6.736)","4.813 (4.156, 5.512)","Inf (Inf, Inf)"
11,55,"7.413 (6.353, 8.921)","9.866 (8.025, 12.092)","5.899 (5.272, 7.098)","4.833 (4.155, 5.527)","Inf (Inf, Inf)"
12,60,"7.635 (6.091, 9.280)","10.215 (8.096, 12.704)","6.014 (5.041, 7.121)","4.924 (4.115, 5.724)","Inf (Inf, Inf)"
13,65,"7.643 (6.221, 9.074)","10.158 (8.276, 13.132)","6.027 (4.857, 7.322)","4.919 (4.185, 5.806)","Inf (Inf, Inf)"
14,70,"7.598 (6.366, 9.288)","10.451 (8.416, 12.548)","6.133 (5.083, 7.254)","4.871 (4.100, 5.782)","Inf (Inf, Inf)"
15,75,"7.608 (6.374, 9.330)","10.561 (8.438, 13.241)","5.935 (4.945, 7.235)","4.896 (4.192, 5.887)","Inf (Inf, Inf)"
