scenario,cycle,mean_ba_mean,mean_vol_mean,mean_carbon_mean,total_tpa_mean,harvest_rate_mean,plant_rate_mean
BAU,1,109.7,3123.9,62403.2,341.1,9.8%,5.0%
BAU,2,109.3,3199,63805.3,354.4,9.4%,4.6%
BAU,3,106.2,3224,63976.3,371,9.2%,4.4%
BAU,4,101.8,3233.2,63579.6,396,8.9%,4.2%
BAU,5,96,3192.9,62125.5,434,8.7%,4.1%
BAU,6,89.7,3123.9,60083.5,492.1,8.3%,3.9%
BAU,7,84,3049.5,57939.3,573.9,7.9%,3.8%
BAU,8,78.5,2959.3,55571,707.5,7.6%,3.7%
BAU,9,73.2,2841.1,52772.4,915.8,7.1%,3.5%
BAU,10,68.5,2724.6,50068.8,1240.4,6.9%,3.5%
BAU,11,64.3,2605.4,47418.9,1750.7,6.7%,3.4%
BAU,12,60.9,2497.7,45178.9,2586.9,6.4%,3.4%
BAU,13,57.9,2401,43100.1,3960.5,6.3%,3.3%
BAU,14,55.4,2313.8,41242.4,6212.3,6.2%,3.2%
BAU,15,53.2,2236.1,39615.7,9937.3,6.1%,3.2%
Harvest_m25_mill,1,111.1,3159.8,63112.7,342.8,7.3%,3.7%
Harvest_m25_mill,2,112.1,3273.1,65300.9,359.3,7.1%,3.5%
Harvest_m25_mill,3,110,3329.6,66115.6,380.9,7.0%,3.3%
Harvest_m25_mill,4,106.4,3369.5,66290.9,410.3,6.8%,3.2%
Harvest_m25_mill,5,100.8,3348.9,65169.1,453.7,6.6%,3.1%
Harvest_m25_mill,6,94.5,3288.9,63199.5,520.9,6.4%,3.0%
Harvest_m25_mill,7,87.8,3199.6,60679.2,625.9,6.2%,2.9%
Harvest_m25_mill,8,81.7,3110,58182.5,774.7,6.0%,2.8%
Harvest_m25_mill,9,76.1,3006.5,55491.3,1012.3,5.6%,2.7%
Harvest_m25_mill,10,70.6,2882.1,52493.3,1401.2,5.4%,2.7%
Harvest_m25_mill,11,65.7,2748.4,49427.9,2038.2,5.2%,2.6%
Harvest_m25_mill,12,61.2,2615.1,46465.8,3094.3,5.0%,2.6%
Harvest_m25_mill,13,57.4,2488.9,43843.8,4872,4.9%,2.6%
Harvest_m25_mill,14,54.3,2371.5,41481,7890.4,4.8%,2.6%
Harvest_m25_mill,15,51.6,2256.3,39250.6,13277.3,4.8%,2.6%
Harvest_p25_pulp,1,108.5,3089.9,61714.7,338.7,12.2%,6.2%
Harvest_p25_pulp,2,106.5,3117.3,62163.7,348.8,11.7%,5.8%
Harvest_p25_pulp,3,102.8,3117,61851,362.6,11.3%,5.5%
Harvest_p25_pulp,4,97.9,3103.5,61032.7,383.8,10.9%,5.2%
Harvest_p25_pulp,5,92,3053.9,59440.8,412.8,10.5%,5.0%
Harvest_p25_pulp,6,86.6,2996.4,57728.8,459.8,10.0%,4.8%
Harvest_p25_pulp,7,80.9,2909.3,55435.1,527.5,9.5%,4.6%
Harvest_p25_pulp,8,75.6,2803.9,52898.6,630.3,9.2%,4.5%
Harvest_p25_pulp,9,71,2697.3,50418.8,785.3,8.6%,4.3%
