scenario,cycle,year,mmt_agc_mean,mmt_agc_lo,mmt_agc_hi,mmt_bgc_mean,mmt_bgc_lo,mmt_bgc_hi,mmt_dead_c_mean,mmt_dead_c_lo,mmt_dead_c_hi,mmt_litter_c_mean,mmt_litter_c_lo,mmt_litter_c_hi,mmt_soil_c_mean,mmt_soil_c_lo,mmt_soil_c_hi,mmt_under_c_mean,mmt_under_c_lo,mmt_under_c_hi,mmt_total_c_mean,mmt_total_c_lo,mmt_total_c_hi,mmt_biomass_mean,mmt_biomass_lo,mmt_biomass_hi,total_vol_mcf_mean,total_vol_mcf_lo,total_vol_mcf_hi,merch_vol_mcf_mean,merch_vol_mcf_lo,merch_vol_mcf_hi,rd_mean_wtd_mean,rd_mean_wtd_lo,rd_mean_wtd_hi,sdi_mean_wtd_mean,sdi_mean_wtd_lo,sdi_mean_wtd_hi,total_area_mha_mean,total_area_mha_lo,total_area_mha_hi,n_sims,n_conditions
BAU,1,2004,234.42142918668515,225.31576550293647,242.12609013409585,51.572714421070735,49.569468410646024,53.26773982950108,54.18205459398271,52.2758747662768,55.919693391208384,87.20554419476967,84.46764118874114,90.5759878999107,717.3947532504304,695.4898556196983,743.1197158739247,9.067045471604793,8.793340813564233,9.401831700863143,1138.9475756839397,1104.8048650524981,1176.449660067966,478.29950476854395,459.5690492120233,494.17893122871465,17629.558645296194,16903.995692741788,18307.92966467984,8376.47013831418,7950.918376824877,8805.383100777626,0.5266607351704696,0.5166884629619642,0.5338215870662488,257.2208871901694,252.7208234897596,260.9408935210896,5503.731087031209,5341.056160042075,5700.180297019103,100,2831
BAU,2,2009,214.76275075346805,204.94940775890012,224.71685343451622,47.24780516576297,45.08886970695802,49.437707755593564,47.003418891247094,44.992054667195816,48.92628769227403,75.63760881870459,72.90122865317375,79.40466534614811,620.5582766434857,597.1725137824492,648.8949638516189,7.811834993759934,7.500885770625429,8.164339013265579,1000.215488911224,963.2095402322685,1044.4656557017536,438.3834671091938,418.3034625893913,458.71820710547877,16369.290059368186,15524.129950808248,17191.259925061706,7897.451583327253,7454.903788897738,8421.463763121175,0.571567148509598,0.5612941461647384,0.581051014756056,279.39215530114177,275.13112642175224,285.00443646311373,4761.716438217135,4586.618553051187,4971.87194170314,100,2421
BAU,3,2014,195.44053947749217,185.6910879751485,205.46116732717329,42.99691868504827,40.852039354532664,45.20145681197812,41.13531676030846,39.178658852289516,42.971100219536574,66.16848878977731,63.48032793402678,69.22007477611614,541.5497241050026,518.5843325419185,566.5512665894682,6.788974362860868,6.500401123742957,7.1253856084774,883.9962502321811,848.5275886490329,923.6954734358226,399.1264915145755,379.16447648502697,419.516553166363,15174.107911881174,14359.347207598563,15990.29871074058,7432.280101799914,6902.876770367673,7884.325860634248,0.6136170355071601,0.6006689491716268,0.6260948555940713,300.1643145126266,294.5743765134436,306.97503718391033,4155.659935916892,3988.1831997592058,4345.98463967314,100,2092
BAU,4,2019,178.76173193891165,170.32673975983712,188.3481755482871,39.327581026560566,37.47188274716416,41.43659862062316,36.78763526876617,35.018224875536646,38.571535848664965,59.20775252681777,56.68547104441346,61.64948547488579,483.56746975028403,462.58841864089544,503.6520877965865,6.041960709095728,5.780608311430877,6.317480383226709,795.5640603784601,759.8455949197346,831.1107906941807,365.2297868028752,347.8854032403408,384.89702662416323,14163.270977103311,13372.73617997639,14955.103876536446,7063.537687903364,6509.0557816128885,7590.506855716754,0.6574806257779381,0.6391389240948622,0.6883960346002815,321.977030000451,313.2343726659795,337.1016278440294,3710.988132443838,3552.1667842777697,3865.7289099145482,100,1855
BAU,5,2024,161.90719948155908,152.5765256920144,171.8083411696009,35.619583885942994,33.56683565224317,37.7978350573122,33.24750574616729,31.36988971200818,34.921524041396225,53.55194212248533,50.96163570656418,56.06336943570007,436.4882222879133,414.8915111642458,457.0033158859394,5.436317933930214,5.156941337761154,5.695099597150823,719.8753492910828,681.7289424746857,755.4538759865866,330.94246162146175,311.82120638021195,351.30004473681674,13083.848675415366,12225.741187922533,13807.997698432919,6640.138117676963,6023.754035888694,7207.476707978889,0.7109016548807477,0.6796509619796783,0.8135899211442352,348.2349522025958,333.4487361235168,393.86969934212254,3349.7262206439036,3185.826821103058,3503.963701261232,100,1661
BAU,6,2029,145.12498129388317,137.00166390980544,154.38901507373495,31.9274958846543,30.1403660601572,33.9655833162217,30.23484841256143,28.494490314889433,32.00120642722726,48.75480779024745,46.176525638367394,51.48276329796222,396.72048187033204,376.22054323756447,417.70895928512175,4.93220588205048,4.691520023996308,5.200514010040947,652.5162001306583,620.1709087839993,688.1966601969611,296.7981214278099,280.09381622458,315.97495766599957,11937.200001620651,11167.621348325989,12731.664049298884,6144.615570059375,5535.590950248634,6680.838141519284,0.7895978924555861,0.7298665005171989,1.0418134830114087,386.58719522118025,356.64336566209295,491.9586730356634,3044.357884700717,2884.495514629348,3206.4955016596723,100,1500
BAU,7,2034,128.52008347758962,119.80992332038127,138.50910185064373,28.27441836506972,26.35818313048388,30.47200240714162,27.44493332841835,25.946684526353202,29.239998695096737,44.40429249949539,42.04599391949834,47.19714655005019,361.1012364548923,342.64149185459917,382.8469431665768,4.485362486984855,4.264330161326752,4.759857155928452,589.7703971100685,560.2474314905273,628.2685243239836,262.97050367358105,245.22173884572135,283.26634972560714,10725.8775165468,9910.784732205007,11574.365835856697,5595.519445178686,4997.34715870386,6255.272824221898,0.8624999652646482,0.7847254776731148,1.020258734920872,424.24508024047765,383.94201467711616,508.1674463492577,2770.3377998918836,2625.9214030900403,2935.7923165662314,100,1357
BAU,8,2039,113.47165485691936,105.1149778692195,121.93617098009696,24.96376406852226,23.12529513122829,26.825957615621327,24.860974087976047,23.407544319678003,26.618389997235234,40.46482333091703,38.34143363456661,43.19808528287794,328.9406274129318,311.06943346992074,350.9164737964005,4.086350228002112,3.8466244752850898,4.367123077884501,532.7360746033684,502.6197351772556,571.3930715708871,232.2852085732097,215.15514187120547,249.6660784963198,9573.132868898152,8709.887412930624,10444.898856870353,5040.897061340035,4453.927817073695,5630.1315027236915,0.9889296680043556,0.8453214408566809,1.3195690094575259,487.37862535364474,412.0577401642758,651.499554443754,2523.045674827151,2389.885196751672,2689.2949698502207,100,1230
BAU,9,2044,99.78092811248719,91.84856972752634,109.76316013976762,21.95180418474718,20.206685340055795,24.147895230748873,22.47051452225549,21.034039675940022,23.970436558784584,36.80231972539892,34.69016073438367,39.09851203098985,299.23334810668945,280.08321671043984,318.3361358183747,3.718462246128438,3.479721768385709,3.9545158482592324,480.22626742300525,449.4797312517843,514.4193426398564,204.32493045528892,188.13641561667342,224.8216907376111,8501.338428295852,7635.284177987718,9415.836224062103,4507.235417108064,3924.891396277565,5205.05105682066,1.1575607715015948,0.9176776659790205,1.7600372094701684,572.0801582972558,446.4327932333873,889.7427016634515,2294.839060616931,2155.3891868472056,2441.337384436198,100,1115
BAU,10,2049,87.60201188176156,79.48486592668984,97.24778336756489,19.272442613987543,17.486670503871764,21.394512340864274,20.353427033085058,19.008426630500814,21.909975349984094,33.53867110028441,31.408636129459776,36.06247651772047,272.7196689703527,255.83421406675023,292.5497794277528,3.39074791914281,3.1777327457978126,3.6401696175191365,433.32371593570844,404.8617257915512,468.1023981117029,179.4392786968778,162.8689995837787,199.32593617712456,7526.383343465381,6571.8099109343,8375.421981023776,4009.467453455734,3438.469634003787,4718.534467011394,1.3527207564559063,0.9991320862902445,2.0160560590311976,670.996955061826,483.811815226545,1007.7305254494196,2091.085367006502,1962.3712042476213,2242.8091080847785,100,1013
