scenario,cycle,year,mmt_agc_mean,mmt_agc_lo,mmt_agc_hi,mmt_bgc_mean,mmt_bgc_lo,mmt_bgc_hi,mmt_dead_c_mean,mmt_dead_c_lo,mmt_dead_c_hi,mmt_litter_c_mean,mmt_litter_c_lo,mmt_litter_c_hi,mmt_soil_c_mean,mmt_soil_c_lo,mmt_soil_c_hi,mmt_under_c_mean,mmt_under_c_lo,mmt_under_c_hi,mmt_total_c_mean,mmt_total_c_lo,mmt_total_c_hi,mmt_biomass_mean,mmt_biomass_lo,mmt_biomass_hi,total_vol_mcf_mean,total_vol_mcf_lo,total_vol_mcf_hi,merch_vol_mcf_mean,merch_vol_mcf_lo,merch_vol_mcf_hi,rd_mean_wtd_mean,rd_mean_wtd_lo,rd_mean_wtd_hi,sdi_mean_wtd_mean,sdi_mean_wtd_lo,sdi_mean_wtd_hi,total_area_mha_mean,total_area_mha_lo,total_area_mha_hi,n_sims,n_conditions
BAU,1,2004,238.3482532765467,229.653796898111,247.0560355766416,52.43661572084027,50.52383531758442,54.352327826861156,54.50735927383409,52.71235478890488,56.19755911051318,87.4803617276829,84.67030787601868,90.67259089638492,721.0851650316819,699.2489630805935,748.9234884977124,9.111326676476024,8.829698603310895,9.4708641911701,1148.0462495541494,1114.5561650843451,1188.0146939683168,486.32051718068345,468.5637646143913,504.24895616221164,17951.847087868948,17265.081596032862,18643.85997123752,8532.632330154836,8128.678983214641,8925.785732694994,0.5272947835719766,0.5180371595804367,0.5345527509090171,257.52474169775655,253.16131764259558,261.2271155333301,5528.700754697927,5359.3400256466575,5741.092582700742,100,2846
BAU,2,2009,222.95516955619618,212.92328482411182,233.02667575407185,49.05013730236316,46.843122661304605,51.26586866589581,47.72120767119119,45.94337231463694,49.758169732361836,76.26430318827187,73.14667207604415,79.68505092153717,628.1593675391002,605.2359202035256,656.5407060736602,7.90192934363448,7.618312736494293,8.289892410610545,1019.3394668417549,977.9021998067012,1063.5638082407863,455.11943389081796,434.7012093174302,475.69788345472483,17038.870660553504,16267.288630962139,17845.629740497123,8238.198370372056,7816.718251946899,8756.625770761257,0.5710165827094412,0.5608707085255016,0.5795131988706936,279.11635400638426,273.9224432212246,283.46693112128554,4814.88152147406,4641.559223951828,5029.470415705693,100,2450
BAU,3,2014,206.91534669895964,196.63925706606582,216.54119636918796,45.52137627377112,43.26063655453448,47.63906320122135,41.945774528498134,40.206508567589204,43.66460632651206,66.76052978018421,63.837330182104495,69.55066307275902,549.2667764121502,527.5517777186307,572.6550221443499,6.8796699247344595,6.615057843073252,7.190595347083624,907.2654999399773,871.6406562947755,946.8648209208861,422.5837319906746,401.5722132756812,442.4069393383925,16116.264611716204,15264.103143837965,16969.661320770425,7910.855392953413,7366.358521410926,8497.365728310526,0.6102817743817441,0.5962065751091814,0.620615915062831,298.4680421866512,291.6155362061196,304.28750057424463,4209.070943516267,4040.939827746045,4386.517314529142,100,2122
BAU,4,2019,193.36185997672686,182.59088059628874,203.49714503293427,42.53960919487991,40.169993731183524,44.76937190724554,37.6807914521694,35.87055278331709,39.50936264503943,59.79677199264086,57.11650156921507,62.443997457479384,491.56442868149657,471.2187775169084,513.3510903875172,6.133396041675627,5.888764292030011,6.403974532297562,823.1430130635607,786.3931589849533,858.5713476655797,395.0719822059822,373.07003282056644,415.89480407924407,15398.172231144876,14370.683291675054,16244.34998434392,7695.435274262885,7079.992904932626,8274.926731281712,0.6487009495511491,0.6319789041047228,0.6770568482786865,317.5121643648986,308.8174408133999,332.55910897315346,3765.850928022096,3614.157649581212,3931.1297335463414,100,1885
BAU,5,2024,179.77726129434706,169.5959146325883,190.90021910234404,39.55099748475635,37.31110121916943,41.99804820251569,34.273531805369174,32.57817907019523,35.91263108042878,54.18011868625016,51.50180392147149,56.57220820828872,445.26957023330175,423.33026905130686,464.7165923332992,5.534733590386025,5.287009288975391,5.783571469062912,752.3612797271857,716.1639557757553,787.6486405814676,367.4827105747794,346.68846866378254,390.177061515319,14626.266879361876,13662.819405352755,15550.323140344526,7435.738725309066,6705.440218001242,8035.6134136726,0.6961623284477535,0.6622449888829431,0.7938051977713805,340.90055479913536,324.6378517855021,385.3570530601686,3409.1258293092305,3244.721331257517,3552.278073257296,100,1694
BAU,6,2029,165.60859362501716,156.4567847751872,176.46590616548895,36.433890597503776,34.42049265054118,38.82249935640756,31.361583554957793,29.76055598536479,33.011799814335795,49.51911773286905,47.05837941864621,52.0774284412788,406.8212672314983,387.23292602710217,427.80477111964797,5.045109035419003,4.789224336064431,5.299065991662926,689.7349760220791,656.5469147035374,726.1787102584051,338.6738921909905,319.9630122263211,360.9454840357565,13757.967449142627,12810.537048841286,14734.87553708919,7108.066124980365,6427.601002841511,7819.205564415679,0.750473206983003,0.6975905610124175,0.921729729678482,367.47647840559154,341.78581716927783,440.7369040299175,3113.571055566784,2970.81951673086,3270.520325915536,100,1538
BAU,7,2034,150.4660925740345,140.50303162899863,161.5101800373291,33.102540366287585,30.910666958379693,35.53223960821241,28.628774533834946,26.954003217038796,30.310349097342034,45.233219439079235,42.423040673043936,47.6702720533648,371.5877080331719,348.88287506697225,391.6463083757534,4.601613019549771,4.316317556759789,4.845577120968052,629.3744398162047,592.3338155487907,663.2407893133408,307.8513165750137,287.56720250171105,330.51523549899815,12694.661389339064,11634.363409891714,13720.16596519882,6643.024897847661,5896.732887729591,7416.484326675843,0.8469749442468597,0.7450750741944965,1.2488653186118888,414.865676952283,365.0750163684627,604.0359601177971,2842.516644775052,2674.0291247219793,2992.1680158638073,100,1396
BAU,8,2039,135.82802018425002,125.84894546271136,144.64540224898013,29.882164440535007,27.686768001796494,31.821988494775635,26.05080060440413,24.235936442632614,27.526954658950565,41.28387702473265,38.478613993053614,43.68165918416511,339.13008364600836,316.77195753037375,358.56787395180856,4.197285985109001,3.904355198723688,4.429425726746848,572.6248983983696,535.1868844313486,604.7452892893052,278.0068167210166,257.5940159982706,296.2417901746399,11605.040224098508,10516.063566009097,12438.115314963918,6108.797586765937,5343.772448766623,6808.959716017222,0.9294991609539485,0.7932911336845853,1.4366397231221104,458.7320041513315,388.54317339319584,735.6301244024733,2593.090139708023,2417.2164166175767,2735.1580981547386,100,1268
BAU,9,2044,122.46228194189682,113.078443554844,131.44036107668705,26.9417020272173,24.87725758206568,28.91687943687115,23.692293142415835,22.008520075612836,25.162888924796995,37.66998378207098,35.1648028464302,40.006602065007925,309.51114744860826,287.4479064107138,328.1070632484055,3.82933395314306,3.552533981510015,4.063449551040488,520.5522284292047,484.9002325964184,552.6199073767298,250.73562658100505,231.48555234673142,269.04798427874874,10598.426888873559,9578.241601136542,11537.573204792552,5577.694423738384,4812.428342685473,6317.240068621537,1.0690508615346723,0.8633144422938859,1.7449514337143086,528.8860393071684,424.9399901125981,881.0981940511749,2365.5900979195294,2202.4095159083936,2507.1586537215594,100,1152
BAU,10,2049,110.06298747369708,99.51158386168945,119.91128986016182,24.213857244213358,21.892548449571677,26.380483769235596,21.52676628248535,20.00983044894442,22.881446880654906,34.40038771993713,31.925461425739904,36.68538591812668,282.81740946824846,262.9902768956927,301.813151991117,3.4991605530707917,3.2470509621787476,3.7302641975839257,473.19682186713555,438.5748108739197,503.5137717595322,225.4027692891898,203.61589821982102,245.67694066837726,9628.057677574787,8604.219958255793,10769.63353143939,5057.490875612065,4320.181065321275,5941.683573165494,1.356324602535929,0.9386890099838773,3.4527424468678123,674.1567275640889,459.5125000580402,1739.4188875819036,2160.6696899955664,2011.9611099489366,2305.9571441953585,100,1049
