"rcp","econ","tag","year","proj","obs","residual"
"45",FALSE,"r17",2004,231.4,263.5,-32.1
"45",FALSE,"r17",2009,208.3,231.3,-22.9
"45",FALSE,"r17",2014,186.1,194.6,-8.4
"45",FALSE,"r17",2019,166.9,175.5,-8.6
"45",FALSE,"r17",2024,148.5,177,-28.4
"45",FALSE,"r18",2004,237,263.5,-26.6
"45",FALSE,"r18",2009,219.2,231.3,-12.1
"45",FALSE,"r18",2014,201.2,194.6,6.6
"45",FALSE,"r18",2019,185.8,175.5,10.2
"45",FALSE,"r18",2024,170.1,177,-6.9
"45",TRUE,"r17",2004,230.8,263.5,-32.8
"45",TRUE,"r17",2009,206.8,231.3,-24.5
"45",TRUE,"r17",2014,183.7,194.6,-10.8
"45",TRUE,"r17",2019,164.2,175.5,-11.4
"45",TRUE,"r17",2024,144.8,177,-32.2
"45",TRUE,"r18",2004,236.4,263.5,-27.1
"45",TRUE,"r18",2009,218.4,231.3,-12.9
"45",TRUE,"r18",2014,199.9,194.6,5.3
"45",TRUE,"r18",2019,183.9,175.5,8.3
"45",TRUE,"r18",2024,167.3,177,-9.7
"85",FALSE,"r17",2004,232.8,263.5,-30.7
"85",FALSE,"r17",2009,211.6,231.3,-19.7
"85",FALSE,"r17",2014,191.1,194.6,-3.5
"85",FALSE,"r17",2019,173.8,175.5,-1.8
"85",FALSE,"r17",2024,157,177,-20
"85",FALSE,"r18",2004,238.3,263.5,-25.2
"85",FALSE,"r18",2009,223,231.3,-8.3
"85",FALSE,"r18",2014,206.9,194.6,12.4
"85",FALSE,"r18",2019,193.4,175.5,17.8
"85",FALSE,"r18",2024,179.8,177,2.8
"85",TRUE,"r17",2004,232.1,263.5,-31.4
"85",TRUE,"r17",2009,210,231.3,-21.3
"85",TRUE,"r17",2014,188.6,194.6,-6
"85",TRUE,"r17",2019,170.4,175.5,-5.1
"85",TRUE,"r17",2024,152.4,177,-24.6
"85",TRUE,"r18",2004,237.8,263.5,-25.7
"85",TRUE,"r18",2009,221.5,231.3,-9.7
"85",TRUE,"r18",2014,205,194.6,10.5
"85",TRUE,"r18",2019,191.2,175.5,15.6
"85",TRUE,"r18",2024,176.5,177,-0.5
