"state","year","hybrid_Tg","recal_Tg","area_Mha"
"AL",2022,401.146,401.146,8.3083
"AL",2032,497.568,494.886,8.3083
"AL",2042,569.415,581.727,8.3083
"AL",2052,619.848,650.807,8.3083
"AL",2062,650.118,700.919,8.3083
"AL",2072,664.718,736.291,8.3083
"AL",2082,665.958,759.98,8.3083
"AL",2092,657.559,774.619,8.3083
"AL",2102,640.924,783.175,8.3083
"AL",2112,616.025,787.242,8.3083
"AL",2122,586.9,788.278,8.3083
"AR",2022,368.767,368.767,6.8015
"AR",2032,425.334,425.155,6.8015
"AR",2042,468.556,476.251,6.8015
"AR",2052,494.541,517.849,6.8015
"AR",2062,501.162,548.695,6.8015
"AR",2072,492.339,568.919,6.8015
"AR",2082,475.673,580.864,6.8015
"AR",2092,458.021,587.917,6.8015
"AR",2102,438.228,592.839,6.8015
"AR",2112,413.288,595.905,6.8015
"AR",2122,392.606,598.072,6.8015
"AZ",2022,126.121,126.121,6.7424
"AZ",2032,132.292,132.742,6.7424
"AZ",2042,137.303,138.389,6.7424
"AZ",2052,141.168,143.088,6.7424
"AZ",2062,144.087,147.052,6.7424
"AZ",2072,146.216,150.44,6.7424
"AZ",2082,147.669,153.396,6.7424
"AZ",2092,148.609,155.969,6.7424
"AZ",2102,149.143,158.204,6.7424
"AZ",2112,149.321,160.103,6.7424
"AZ",2122,149.234,161.783,6.7424
"CA",2022,664.17,664.17,7.2352
"CA",2032,704.469,714.313,7.2352
"CA",2042,737.691,757.066,7.2352
"CA",2052,764.484,792.724,7.2352
"CA",2062,786,822.017,7.2352
"CA",2072,803.116,846.154,7.2352
"CA",2082,817.353,866.529,7.2352
"CA",2092,828.867,883.82,7.2352
"CA",2102,838.133,898.839,7.2352
"CA",2112,845.598,911.905,7.2352
"CA",2122,850.944,923.129,7.2352
"CO",2022,297.46,297.46,8.5523
"CO",2032,315.935,312.101,8.5523
"CO",2042,332.099,326.37,8.5523
"CO",2052,345.101,339.51,8.5523
"CO",2062,353.822,350.849,8.5523
"CO",2072,357.934,360.083,8.5523
"CO",2082,359.044,367.764,8.5523
"CO",2092,357.076,373.82,8.5523
"CO",2102,353.696,378.891,8.5523
"CO",2112,349.489,383.188,8.5523
"CO",2122,344.642,386.83,8.5523
"CT",2022,25.338,25.338,0.3392
"CT",2032,26.212,27.124,0.3392
"CT",2042,26.707,28.529,0.3392
"CT",2052,26.877,29.548,0.3392
"CT",2062,26.784,30.26,0.3392
"CT",2072,26.621,30.85,0.3392
"CT",2082,26.4,31.311,0.3392
"CT",2092,26.16,31.696,0.3392
"CT",2102,25.912,32.033,0.3392
"CT",2112,25.665,32.335,0.3392
"CT",2122,25.424,32.609,0.3392
"DE",2022,26.548,26.548,0.383
"DE",2032,28.599,29.163,0.383
"DE",2042,30.422,31.409,0.383
"DE",2052,32.101,33.361,0.383
"DE",2062,33.636,35.091,0.383
"DE",2072,35.047,36.675,0.383
"DE",2082,36.362,38.149,0.383
"DE",2092,37.584,39.524,0.383
"DE",2102,38.673,40.785,0.383
"DE",2112,39.698,41.988,0.383
"DE",2122,40.663,43.138,0.383
"FL",2022,222.93,222.93,5.5251
"FL",2032,257.261,264.193,5.5251
"FL",2042,277.879,301.278,5.5251
"FL",2052,282.209,329.354,5.5251
"FL",2062,281.485,349.04,5.5251
"FL",2072,276.957,362.353,5.5251
"FL",2082,263.851,371.015,5.5251
"FL",2092,241.603,376.609,5.5251
"FL",2102,222.561,380.481,5.5251
"FL",2112,209.132,383.298,5.5251
"FL",2122,199.029,385.231,5.5251
"GA",2022,298.542,298.542,6.5126
"GA",2032,369.973,375.061,6.5126
"GA",2042,426.702,446.786,6.5126
"GA",2052,467.726,504.214,6.5126
"GA",2062,493.785,547.477,6.5126
"GA",2072,501.612,577.134,6.5126
"GA",2082,486.959,592.949,6.5126
"GA",2092,457.951,598.55,6.5126
"GA",2102,420.554,600.662,6.5126
"GA",2112,384.197,601.992,6.5126
"GA",2122,353.633,602.873,6.5126
"IA",2022,45.283,45.283,0.8344
"IA",2032,48.962,49.687,0.8344
"IA",2042,51.189,53.119,0.8344
"IA",2052,51.821,55.539,0.8344
"IA",2062,50.935,57.131,0.8344
"IA",2072,48.979,58.186,0.8344
"IA",2082,46.357,58.848,0.8344
"IA",2092,43.203,59.185,0.8344
"IA",2102,39.899,59.342,0.8344
"IA",2112,36.62,59.37,0.8344
"IA",2122,33.694,59.392,0.8344
"ID",2022,365.447,365.447,6.8156
"ID",2032,397.041,405.297,6.8156
"ID",2042,424.643,443.2,6.8156
"ID",2052,446.782,477.454,6.8156
"ID",2062,462.19,506.071,6.8156
"ID",2072,471.164,528.618,6.8156
"ID",2082,474.862,545.515,6.8156
"ID",2092,472.524,557,6.8156
"ID",2102,466.591,565.115,6.8156
"ID",2112,457.062,570.246,6.8156
"ID",2122,443.751,573.043,6.8156
"IL",2022,99.494,99.494,1.5479
"IL",2032,107.396,110.208,1.5479
"IL",2042,111.558,118.358,1.5479
"IL",2052,111.438,124.543,1.5479
"IL",2062,106.979,127.524,1.5479
"IL",2072,101.768,129.562,1.5479
"IL",2082,96.211,131.107,1.5479
"IL",2092,90.744,132.349,1.5479
"IL",2102,85.27,133.3,1.5479
"IL",2112,80.233,134.125,1.5479
"IL",2122,75.65,134.926,1.5479
"IN",2022,122.307,122.307,1.8174
"IN",2032,132.294,138.553,1.8174
"IN",2042,139.752,152.259,1.8174
"IN",2052,145.5,163.7,1.8174
"IN",2062,148.442,172.54,1.8174
"IN",2072,147.37,178.66,1.8174
"IN",2082,142.514,181.975,1.8174
"IN",2092,135.685,183.939,1.8174
"IN",2102,128.137,185.058,1.8174
"IN",2112,120.268,185.689,1.8174
"IN",2122,112.698,186.116,1.8174
"KS",2022,12.779,12.779,0.3448
"KS",2032,13.413,14.007,0.3448
"KS",2042,13.795,14.97,0.3448
"KS",2052,14.042,15.747,0.3448
"KS",2062,14.164,16.341,0.3448
"KS",2072,14.159,16.795,0.3448
"KS",2082,13.828,17.118,0.3448
"KS",2092,12.902,17.302,0.3448
"KS",2102,11.935,17.439,0.3448
"KS",2112,10.837,17.509,0.3448
"KS",2122,9.741,17.551,0.3448
"KY",2022,296.872,296.872,4.3237
"KY",2032,326.684,329.993,4.3237
"KY",2042,344.739,355.594,4.3237
"KY",2052,348.568,373.406,4.3237
"KY",2062,339.839,383.885,4.3237
"KY",2072,324.846,390.167,4.3237
"KY",2082,307.44,393.975,4.3237
"KY",2092,289.543,396.273,4.3237
"KY",2102,272.442,397.844,4.3237
"KY",2112,256.656,399.124,4.3237
"KY",2122,242.185,400.251,4.3237
"LA",2022,235.55,235.55,4.7842
"LA",2032,284.605,279.638,4.7842
"LA",2042,325.369,323.725,4.7842
"LA",2052,356.967,360.583,4.7842
"LA",2062,379.003,390.395,4.7842
"LA",2072,390.947,414.184,4.7842
"LA",2082,392.373,432.699,4.7842
"LA",2092,385.869,447.126,4.7842
"LA",2102,372.021,457.944,4.7842
"LA",2112,348.922,465.507,4.7842
"LA",2122,325.443,471.014,4.7842
"MA",2022,66.516,66.516,0.8231
"MA",2032,71.323,72.1,0.8231
"MA",2042,74.786,76.658,0.8231
"MA",2052,76.905,80.183,0.8231
"MA",2062,78.16,83.027,0.8231
"MA",2072,78.812,85.405,0.8231
"MA",2082,79.061,87.473,0.8231
"MA",2092,78.778,89.065,0.8231
"MA",2102,78.012,90.261,0.8231
"MA",2112,76.91,91.16,0.8231
"MA",2122,75.413,91.756,0.8231
"MD",2022,52.638,52.638,0.6695
"MD",2032,56.219,58.508,0.6695
"MD",2042,58.378,63.004,0.6695
"MD",2052,59.475,66.235,0.6695
"MD",2062,59.701,68.463,0.6695
"MD",2072,58.76,69.778,0.6695
"MD",2082,55.902,70.487,0.6695
"MD",2092,51.058,70.672,0.6695
"MD",2102,47.145,70.771,0.6695
"MD",2112,43.884,70.796,0.6695
"MD",2122,41.132,70.804,0.6695
"ME",2022,312.387,312.387,6.6967
"ME",2032,341.198,368.419,6.6967
"ME",2042,361.729,414.614,6.6967
"ME",2052,377.246,452.138,6.6967
"ME",2062,389.017,482.667,6.6967
"ME",2072,397.248,507.135,6.6967
"ME",2082,402.409,526.364,6.6967
"ME",2092,406.235,541.63,6.6967
"ME",2102,408.667,553.535,6.6967
"ME",2112,410.172,562.733,6.6967
"ME",2122,410.584,569.704,6.6967
"MI",2022,384.042,384.042,7.4562
"MI",2032,420.072,435.54,7.4562
"MI",2042,447.507,479.128,7.4562
"MI",2052,466.45,514.951,7.4562
"MI",2062,477.74,544.098,7.4562
"MI",2072,482.395,567.594,7.4562
"MI",2082,482.05,586.559,7.4562
"MI",2092,477.159,601.569,7.4562
"MI",2102,467.323,613.185,7.4562
"MI",2112,454.541,622.222,7.4562
"MI",2122,439.201,629.33,7.4562
"MN",2022,260.738,260.738,7.0989
"MN",2032,287.404,298.913,7.0989
"MN",2042,309.209,332.934,7.0989
"MN",2052,323.962,360.642,7.0989
"MN",2062,333.339,382.643,7.0989
"MN",2072,338.156,399.819,7.0989
"MN",2082,338.369,413.078,7.0989
"MN",2092,335.318,423.053,7.0989
"MN",2102,329.954,430.649,7.0989
"MN",2112,322.548,436.312,7.0989
"MN",2122,312.916,440.338,7.0989
"MO",2022,380.676,380.676,6.77
"MO",2032,404.367,414.554,6.77
"MO",2042,421.929,442.004,6.77
"MO",2052,433.793,463.491,6.77
"MO",2062,440.646,479.778,6.77
"MO",2072,443.058,491.72,6.77
"MO",2082,441.797,500.28,6.77
"MO",2092,437.646,506.265,6.77
"MO",2102,431.896,510.495,6.77
"MO",2112,425.083,513.503,6.77
"MO",2122,417.601,515.732,6.77
"MS",2022,316.33,316.33,6.285
"MS",2032,398.882,399.238,6.285
"MS",2042,462.011,476.374,6.285
"MS",2052,507.923,538.13,6.285
"MS",2062,540.502,586.339,6.285
"MS",2072,558.952,621.923,6.285
"MS",2082,563.143,644.855,6.285
"MS",2092,555.202,656.957,6.285
"MS",2102,539.637,662.769,6.285
"MS",2112,521.274,666.35,6.285
"MS",2122,502.74,669.066,6.285
"MT",2022,407.366,407.366,9.0457
"MT",2032,430.926,435.106,9.0457
"MT",2042,450.906,461.072,9.0457
"MT",2052,467.156,484.284,9.0457
"MT",2062,480.002,504.516,9.0457
"MT",2072,489.56,521.547,9.0457
"MT",2082,495.627,535.343,9.0457
"MT",2092,498.507,546.347,9.0457
"MT",2102,498.847,555.247,9.0457
"MT",2112,496.777,562.284,9.0457
"MT",2122,493.029,567.933,9.0457
"NC",2022,332.286,332.286,5.826
"NC",2032,395.077,403.942,5.826
"NC",2042,447.284,471.66,5.826
"NC",2052,487.232,526.645,5.826
"NC",2062,516.351,570.402,5.826
"NC",2072,536.039,605.117,5.826
"NC",2082,544.586,631.461,5.826
"NC",2092,543.709,650.279,5.826
"NC",2102,534.76,662.757,5.826
"NC",2112,518.08,670.761,5.826
"NC",2122,494.365,675.742,5.826
"ND",2022,4.825,4.825,0.2935
"ND",2032,5.323,5.349,0.2935
"ND",2042,5.767,5.788,0.2935
"ND",2052,6.162,6.154,0.2935
"ND",2062,6.511,6.479,0.2935
"ND",2072,6.796,6.777,0.2935
"ND",2082,6.963,6.988,0.2935
"ND",2092,6.965,7.074,0.2935
"ND",2102,6.865,7.111,0.2935
"ND",2112,6.736,7.141,0.2935
"ND",2122,6.591,7.17,0.2935
"NE",2022,15.941,15.941,0.4255
"NE",2032,16.743,17.219,0.4255
"NE",2042,17.074,18.13,0.4255
"NE",2052,17.145,18.814,0.4255
"NE",2062,16.716,19.332,0.4255
"NE",2072,16.398,19.76,0.4255
"NE",2082,16.159,20.152,0.4255
"NE",2092,15.691,20.467,0.4255
"NE",2102,15.366,20.756,0.4255
"NE",2112,15.121,21.026,0.4255
"NE",2122,14.953,21.275,0.4255
"NH",2022,138.088,138.088,1.9184
"NH",2032,149.809,152.885,1.9184
"NH",2042,158.858,165.311,1.9184
"NH",2052,165.261,175.422,1.9184
"NH",2062,168.358,182.903,1.9184
"NH",2072,168.741,188.212,1.9184
"NH",2082,166.023,191.352,1.9184
"NH",2092,161.426,193.238,1.9184
"NH",2102,155.662,194.348,1.9184
"NH",2112,149.317,195.03,1.9184
"NH",2122,142.961,195.569,1.9184
"NJ",2022,43.804,43.804,0.7759
"NJ",2032,46.643,48.618,0.7759
"NJ",2042,48.597,52.59,0.7759
"NJ",2052,49.424,55.559,0.7759
"NJ",2062,49.888,57.956,0.7759
"NJ",2072,49.176,59.44,0.7759
"NJ",2082,48.245,60.593,0.7759
"NJ",2092,46.998,61.529,0.7759
"NJ",2102,45.286,62.274,0.7759
"NJ",2112,43.29,62.883,0.7759
"NJ",2122,41.225,63.434,0.7759
"NM",2022,143.357,143.357,6.8649
"NM",2032,150.967,148.079,6.8649
"NM",2042,157.344,152.527,6.8649
"NM",2052,162.185,156.632,6.8649
"NM",2062,166.197,160.526,6.8649
"NM",2072,169.143,164.097,6.8649
"NM",2082,171.062,167.394,6.8649
"NM",2092,172.159,170.512,6.8649
"NM",2102,172.172,173.35,6.8649
"NM",2112,170.987,175.806,6.8649
"NM",2122,169.446,178.072,6.8649
"NV",2022,43.724,43.724,3.5892
