"state","year","fiaplot_Tg"
"AL",2025,339.161
"AL",2035,434.212
"AL",2045,528.607
"AL",2055,601.032
"AL",2065,650.557
"AL",2075,686.09
"AL",2085,710.704
"AL",2095,727.274
"AL",2105,737.898
"AL",2115,743.417
"AL",2125,746.12
"AZ",2025,65.204
"AZ",2035,68.332
"AZ",2045,71.003
"AZ",2055,73.25
"AZ",2065,75.14
"AZ",2075,76.745
"AZ",2085,78.14
"AZ",2095,79.363
"AZ",2105,80.454
"AZ",2115,81.425
"AZ",2125,82.28
"AR",2025,327.935
"AR",2035,390.589
"AR",2045,448.908
"AR",2055,496.068
"AR",2065,530.494
"AR",2075,553.967
"AR",2085,568.982
"AR",2095,578.575
"AR",2105,584.754
"AR",2115,588.366
"AR",2125,589.881
"CA",2025,236.773
"CA",2035,253.874
"CA",2045,269.032
"CA",2055,282.228
"CA",2065,293.486
"CA",2075,302.89
"CA",2085,310.871
"CA",2095,317.088
"CA",2105,322.093
"CA",2115,326.048
"CA",2125,329.335
"CO",2025,90.066
"CO",2035,95.709
"CO",2045,101.085
"CO",2055,106.078
"CO",2065,110.494
"CO",2075,114.167
"CO",2085,117.081
"CO",2095,119.345
"CO",2105,121.107
"CO",2115,122.496
"CO",2125,123.636
"CT",2025,16.322
"CT",2035,17.651
"CT",2045,18.694
"CT",2055,19.46
"CT",2065,20.036
"CT",2075,20.448
"CT",2085,20.768
"CT",2095,21.019
"CT",2105,21.233
"CT",2115,21.417
"CT",2125,21.58
"DE",2025,7.998
"DE",2035,8.963
"DE",2045,9.803
"DE",2055,10.484
"DE",2065,10.977
"DE",2075,11.324
"DE",2085,11.579
"DE",2095,11.795
"DE",2105,11.989
"DE",2115,12.161
"DE",2125,12.309
"FL",2025,302.526
"FL",2035,363.334
"FL",2045,423.465
"FL",2055,470.805
"FL",2065,502.445
"FL",2075,522.577
"FL",2085,534.682
"FL",2095,541.649
"FL",2105,545.769
"FL",2115,548.636
"FL",2125,550.629
"GA",2025,481.7
"GA",2035,595.658
"GA",2045,708.912
"GA",2055,798.543
"GA",2065,855.744
"GA",2075,889.491
"GA",2085,910.01
"GA",2095,921.824
"GA",2105,927.712
"GA",2115,931.217
"GA",2125,933.308
"ID",2025,356.3
"ID",2035,386.032
"ID",2045,413.521
"ID",2055,438.27
"ID",2065,459.475
"ID",2075,476.678
"ID",2085,489.456
"ID",2095,498.293
"ID",2105,504.53
"ID",2115,508.805
"ID",2125,511.434
"IL",2025,89.351
"IL",2035,99.967
"IL",2045,108.904
"IL",2055,116.065
"IL",2065,121.617
"IL",2075,125.66
"IL",2085,128.526
"IL",2095,130.397
"IL",2105,131.593
"IL",2115,132.444
"IL",2125,133.11
"IN",2025,115.5
"IN",2035,130.015
"IN",2045,142.42
"IN",2055,152.436
"IN",2065,160.21
"IN",2075,166.008
"IN",2085,170.172
"IN",2095,172.94
"IN",2105,174.703
"IN",2115,175.769
"IN",2125,176.428
"IA",2025,29.656
"IA",2035,33.335
"IA",2045,36.447
"IA",2055,38.894
"IA",2065,40.651
"IA",2075,41.812
"IA",2085,42.554
"IA",2095,42.998
"IA",2105,43.267
"IA",2115,43.415
"IA",2125,43.512
"KS",2025,31.066
"KS",2035,36.297
"KS",2045,40.848
"KS",2055,44.531
"KS",2065,47.36
"KS",2075,49.344
"KS",2085,50.524
"KS",2095,51.283
"KS",2105,51.771
"KS",2115,52.067
"KS",2125,52.266
"KY",2025,141.359
"KY",2035,159.439
"KY",2045,174.296
"KY",2055,185.419
"KY",2065,192.958
"KY",2075,197.581
"KY",2085,200.24
"KY",2095,201.696
"KY",2105,202.52
"KY",2115,202.965
"KY",2125,203.215
"LA",2025,196.524
"LA",2035,244.169
"LA",2045,290.936
"LA",2055,329.059
"LA",2065,354.064
"LA",2075,369.843
"LA",2085,380.397
"LA",2095,387.586
"LA",2105,392.341
"LA",2115,395.286
"LA",2125,397.207
"ME",2025,221.4
"ME",2035,259.166
"ME",2045,291.237
"ME",2055,317.2
"ME",2065,337.643
"ME",2075,353.235
"ME",2085,364.697
"ME",2095,373.107
"ME",2105,378.48
"ME",2115,382.035
"ME",2125,384.645
"MD",2025,31.29
"MD",2035,34.831
"MD",2045,37.719
"MD",2055,39.887
"MD",2065,41.341
"MD",2075,42.263
"MD",2085,42.813
"MD",2095,43.132
"MD",2105,43.3
"MD",2115,43.366
"MD",2125,43.377
"MA",2025,40.442
"MA",2035,44.702
"MA",2045,48.155
"MA",2055,50.854
"MA",2065,52.881
"MA",2075,54.29
"MA",2085,55.214
"MA",2095,55.773
"MA",2105,56.109
"MA",2115,56.301
"MA",2125,56.403
"MI",2025,620.741
"MI",2035,709.524
"MI",2045,789.817
"MI",2055,858.159
"MI",2065,913.807
"MI",2075,958.055
"MI",2085,992.548
"MI",2095,1017.588
"MI",2105,1035.059
"MI",2115,1046.17
"MI",2125,1053.06
"MN",2025,197.4
"MN",2035,235.197
"MN",2045,269.872
"MN",2055,299.288
"MN",2065,322.794
"MN",2075,340.795
"MN",2085,353.944
"MN",2095,363.135
"MN",2105,369.404
"MN",2115,373.705
"MN",2125,376.636
"MS",2025,299.097
"MS",2035,374.359
"MS",2045,440.931
"MS",2055,488.617
"MS",2065,521.747
"MS",2075,544.167
"MS",2085,559.602
"MS",2095,569.915
"MS",2105,575.772
"MS",2115,578.722
"MS",2125,579.438
"MO",2025,240.909
"MO",2035,268.033
"MO",2045,291.532
"MO",2055,310.926
"MO",2065,326.354
"MO",2075,338.169
"MO",2085,346.706
"MO",2095,352.869
"MO",2105,357.231
"MO",2115,360.285
"MO",2125,362.309
"MT",2025,142.657
"MT",2035,155.362
"MT",2045,167.926
"MT",2055,179.507
"MT",2065,189.564
"MT",2075,197.934
"MT",2085,204.723
"MT",2095,210.089
"MT",2105,214.294
"MT",2115,217.634
"MT",2125,220.265
"NE",2025,11.242
"NE",2035,12.909
"NE",2045,14.271
"NE",2055,15.283
"NE",2065,16.022
"NE",2075,16.59
"NE",2085,17.017
"NE",2095,17.305
"NE",2105,17.503
"NE",2115,17.627
"NE",2125,17.721
"NV",2025,16.68
"NV",2035,17.697
"NV",2045,18.636
"NV",2055,19.465
"NV",2065,20.172
"NV",2075,20.776
"NV",2085,21.28
"NV",2095,21.704
"NV",2105,22.059
"NV",2115,22.353
"NV",2125,22.595
"NH",2025,77.091
"NH",2035,86.097
"NH",2045,93.727
"NH",2055,99.932
"NH",2065,104.857
"NH",2075,108.517
"NH",2085,111.029
"NH",2095,112.559
"NH",2105,113.422
"NH",2115,113.916
"NH",2125,114.236
"NJ",2025,31.19
"NJ",2035,34.364
"NJ",2045,36.809
"NJ",2055,38.504
"NJ",2065,39.661
"NJ",2075,40.408
"NJ",2085,40.92
"NJ",2095,41.266
"NJ",2105,41.523
"NJ",2115,41.707
"NJ",2125,41.843
"NM",2025,54.577
"NM",2035,58.059
"NM",2045,61.173
"NM",2055,63.947
"NM",2065,66.348
"NM",2075,68.367
"NM",2085,70.072
"NM",2095,71.49
"NM",2105,72.679
"NM",2115,73.686
"NM",2125,74.523
"NY",2025,230.047
"NY",2035,259.21
"NY",2045,283.911
"NY",2055,303.836
"NY",2065,319.566
"NY",2075,331.208
"NY",2085,339.83
"NY",2095,345.889
"NY",2105,350.262
"NY",2115,353.361
"NY",2125,355.505
"NC",2025,436.758
"NC",2035,528.624
"NC",2045,618.633
"NC",2055,690.572
"NC",2065,739.972
"NC",2075,774.456
"NC",2085,798.522
"NC",2095,815.31
"NC",2105,826.783
"NC",2115,833.927
"NC",2125,837.986
"ND",2025,5.958
"ND",2035,6.873
"ND",2045,7.626
"ND",2055,8.224
"ND",2065,8.67
"ND",2075,9.01
"ND",2085,9.266
"ND",2095,9.476
"ND",2105,9.652
"ND",2115,9.794
"ND",2125,9.888
"OH",2025,82.834
"OH",2035,94.51
"OH",2045,104.906
"OH",2055,113.7
"OH",2065,120.939
"OH",2075,126.617
"OH",2085,130.976
"OH",2095,134.042
"OH",2105,136.068
"OH",2115,137.279
"OH",2125,138.069
"OK",2025,67.008
"OK",2035,80.679
"OK",2045,93.653
"OK",2055,104.053
"OK",2065,111.861
"OK",2075,117.614
"OK",2085,121.638
"OK",2095,124.285
"OK",2105,125.891
"OK",2115,126.775
"OK",2125,127.276
"OR",2025,910.4
"OR",2035,1008.441
"OR",2045,1103.073
"OR",2055,1187.863
"OR",2065,1258.168
"OR",2075,1315.287
"OR",2085,1361.6
"OR",2095,1397.972
"OR",2105,1426.176
"OR",2115,1448.965
"OR",2125,1467.335
"PA",2025,227.759
"PA",2035,254.246
"PA",2045,277.208
"PA",2055,296.037
"PA",2065,310.845
"PA",2075,322.281
"PA",2085,330.874
"PA",2095,337.128
"PA",2105,341.655
"PA",2115,345.006
"PA",2125,347.337
"RI",2025,3.651
"RI",2035,4.02
"RI",2045,4.279
"RI",2055,4.435
"RI",2065,4.499
"RI",2075,4.527
"RI",2085,4.535
"RI",2095,4.535
"RI",2105,4.535
"RI",2115,4.535
"RI",2125,4.535
"SC",2025,407.57
"SC",2035,488.525
"SC",2045,566.486
"SC",2055,623.704
"SC",2065,658.8
"SC",2075,681.148
"SC",2085,695.296
"SC",2095,703.538
"SC",2105,707.887
"SC",2115,710.598
"SC",2125,712.314
"SD",2025,16.825
"SD",2035,18.506
"SD",2045,19.922
"SD",2055,21.141
"SD",2065,22.179
"SD",2075,23.065
"SD",2085,23.812
"SD",2095,24.429
"SD",2105,24.934
"SD",2115,25.345
"SD",2125,25.679
"TN",2025,228.35
"TN",2035,265.339
"TN",2045,300.379
"TN",2055,330.697
"TN",2065,355.418
"TN",2075,375.04
"TN",2085,389.647
"TN",2095,399.375
"TN",2105,405.257
"TN",2115,408.681
"TN",2125,410.723
"TX",2025,211.32
"TX",2035,264.346
"TX",2045,314.762
"TX",2055,354.144
"TX",2065,378.596
"TX",2075,394.521
"TX",2085,404.558
"TX",2095,410.488
"TX",2105,413.879
"TX",2115,415.948
"TX",2125,417.301
"UT",2025,56.688
"UT",2035,60.279
"UT",2045,63.632
"UT",2055,66.589
"UT",2065,69.028
"UT",2075,71.05
"UT",2085,72.733
"UT",2095,74.088
"UT",2105,75.205
"UT",2115,76.146
"UT",2125,76.926
"VT",2025,73.25
"VT",2035,82.457
"VT",2045,90.186
"VT",2055,96.119
"VT",2065,100.279
"VT",2075,102.893
"VT",2085,104.397
"VT",2095,105.2
"VT",2105,105.642
"VT",2115,105.873
"VT",2125,106
"VA",2025,429.875
"VA",2035,498.144
"VA",2045,561.518
"VA",2055,611.332
"VA",2065,649.071
"VA",2075,677.348
"VA",2085,698.677
"VA",2095,714.006
"VA",2105,724.016
"VA",2115,730.609
"VA",2125,735
"WA",2025,763
"WA",2035,846.857
"WA",2045,927.299
"WA",2055,998.269
"WA",2065,1056.74
"WA",2075,1103.707
"WA",2085,1139.274
"WA",2095,1167.095
"WA",2105,1189.923
"WA",2115,1209.183
"WA",2125,1225.037
"WV",2025,161.746
"WV",2035,178.578
"WV",2045,192.576
"WV",2055,203.613
"WV",2065,212.088
"WV",2075,218.314
"WV",2085,222.945
"WV",2095,226.246
"WV",2105,228.658
"WV",2115,230.37
"WV",2125,231.582
"WI",2025,464.561
"WI",2035,541.267
"WI",2045,610.644
"WI",2055,669.503
"WI",2065,717.13
"WI",2075,753.767
"WI",2085,780.164
"WI",2095,798.685
"WI",2105,810.808
"WI",2115,817.29
"WI",2125,820.915
"WY",2025,41.171
"WY",2035,44.154
"WY",2045,47.143
"WY",2055,49.913
"WY",2065,52.398
"WY",2075,54.55
"WY",2085,56.405
"WY",2095,57.963
"WY",2105,59.276
"WY",2115,60.394
"WY",2125,61.334
