"state","agc_t0","agc_t100","gain_Tg","pct"
"OR",836.7,1191.7,355,42.4
"AL",353.4,644.7,291.3,82.4
"WA",631.3,919.3,288,45.6
"PA",432.5,709.5,277,64
"TN",273.9,540.2,266.3,97.2
"NY",340.8,597.7,256.9,75.4
"CA",525.4,762.3,236.9,45.1
"WI",322.7,559,236.3,73.2
"MI",327.3,545.6,218.3,66.7
"MS",285.9,459.1,173.2,60.6
"AR",333,495.6,162.6,48.8
"LA",217.6,371.6,154,70.8
"NC",288.4,439.2,150.8,52.3
"OH",159.1,306.4,147.3,92.6
"MT",343.3,486.8,143.5,41.8
"ID",299.2,421.9,122.7,41
"VA",305.1,423.2,118.1,38.7
"MN",220.2,337.4,117.2,53.2
"CO",241.7,349.8,108.1,44.7
"TX",247.4,355.2,107.8,43.6
"KY",265,369.4,104.4,39.4
"MO",350.8,448.7,97.9,27.9
"VT",124.8,221.6,96.8,77.6
"OK",108.1,187.4,79.3,73.4
"WV",236.1,310,73.9,31.3
"WY",125.6,185.2,59.6,47.5
"ME",271.9,325.6,53.7,19.7
"NH",111.7,160.9,49.2,44
"IN",110.8,156.2,45.4,41
"UT",89.6,131.8,42.2,47.1
"MA",52.9,88.9,36,68.1
"IL",82.2,115.9,33.7,41
"NM",117.1,145.3,28.2,24.1
"GA",266.5,294.4,27.9,10.5
"AZ",100.8,122.6,21.8,21.6
"NV",35.7,48.3,12.6,35.3
"NJ",41.4,53.1,11.7,28.3
"IA",39.8,50.1,10.3,25.9
"RI",12.3,22.5,10.2,82.9
"MD",44.1,51.8,7.7,17.5
"CT",27.9,34.8,6.9,24.7
"KS",11,16.5,5.5,50
"SD",13.2,17.7,4.5,34.1
"DE",13.3,17,3.7,27.8
"ND",5.6,9.2,3.6,64.3
"NE",10.2,12.3,2.1,20.6
"SC",183.4,165.5,-17.9,-9.8
"FL",165.4,134,-31.4,-19
