"state","n","agc_density_MgC_ha","growth_pct_yr"
"AL",17408,40.2,3.201
"AZ",3595,18,0.497
"AR",16468,46.2,2.353
"CA",4598,79.8,0.697
"CO",2989,28.8,0.306
"CT",721,76,1.422
"DE",272,71,2.142
"FL",18298,37.8,2.618
"GA",27695,45,3.03
"ID",2478,48.9,1.317
"IL",2607,69.8,1.356
"IN",2905,77.7,1.893
"IA",1840,52.3,1.482
"KS",1404,38.6,1.651
"KY",7067,62.2,1.261
"LA",8360,44.6,2.175
"ME",10441,43.9,2.595
"MD",913,80.5,1.814
"MA",1217,78.1,1.262
"MI",13471,54.3,1.769
"MN",20929,35.4,2.17
"MS",13549,47,3.102
"MO",9692,54.7,1.357
"MT",2893,40,0.916
"NE",790,32.7,1.362
"NV",1634,12.7,0.566
"NH",1889,65.2,1.755
"NJ",1157,63,1.834
"NM",2245,18.3,-0.156
"NY",6312,63.4,1.656
"NC",18315,52.4,2.683
"ND",515,24.8,1.044
"OH",3523,64.5,2.241
"OK",4406,33.1,2.183
"OR",7659,90.4,1.518
"PA",7691,71.1,1.685
"RI",275,78.2,1.185
"SC",19085,47.7,2.205
"SD",893,29.3,1.252
"TN",11465,59.2,2.14
"TX",13799,34.7,2.69
"UT",3448,18,0.282
"VT",1657,66.7,1.606
"VA",18840,59.4,2.445
"WA",4010,98.4,1.394
"WV",3613,79.2,1.544
"WI",16860,47.1,2.237
"WY",417,32.5,1.098
