"classifier_set","ft_group","ecoregion","owner","treatment","age","merch_vol_m3_ha","foliage_kgC_m2","other_above_kgC_m2","total_above_kgC_m2"
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",10,1.016,0.0028,0.0099,0.0551
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",100,151.845,0.027,0.0973,0.5404
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",105,155.576,0.0276,0.0993,0.5518
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",110,158.801,0.0281,0.1012,0.5621
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",115,161.582,0.0286,0.1029,0.5715
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",120,163.974,0.029,0.1044,0.58
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",125,166.028,0.0294,0.1058,0.5877
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",130,167.788,0.0297,0.107,0.5947
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",135,169.296,0.03,0.1082,0.601
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",140,170.585,0.0303,0.1092,0.6067
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",145,171.687,0.0306,0.1101,0.6118
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",15,3.839,0.0047,0.0168,0.0934
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",150,172.627,0.0308,0.111,0.6165
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",20,9.097,0.0067,0.0239,0.133
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",25,16.766,0.0086,0.031,0.1725
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",30,26.436,0.0105,0.0379,0.2108
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",35,37.527,0.0124,0.0445,0.2474
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",40,49.432,0.0141,0.0508,0.282
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",45,61.611,0.0157,0.0566,0.3144
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",5,0.085,0.0011,0.0038,0.0213
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",50,73.627,0.0172,0.062,0.3446
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",55,85.156,0.0186,0.0671,0.3726
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",60,95.979,0.0199,0.0717,0.3984
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",65,105.964,0.0211,0.076,0.4222
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",70,115.048,0.0222,0.0799,0.444
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",75,123.219,0.0232,0.0835,0.464
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",80,130.5,0.0241,0.0868,0.4822
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",85,136.938,0.0249,0.0898,0.4989
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",90,142.596,0.0257,0.0925,0.514
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",95,147.541,0.0264,0.095,0.5278
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",10,9.984,0.0048,0.0174,0.0968
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",100,121.526,0.0235,0.0845,0.4694
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",105,127.083,0.024,0.0865,0.4808
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",110,132.542,0.0246,0.0885,0.4916
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",115,137.901,0.0251,0.0903,0.5019
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",120,143.162,0.0256,0.0921,0.5116
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",125,148.323,0.026,0.0938,0.5209
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",130,153.386,0.0265,0.0953,0.5297
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",135,158.351,0.0269,0.0969,0.5381
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",140,163.217,0.0273,0.0983,0.5461
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",145,167.987,0.0277,0.0997,0.5537
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",15,15.982,0.0066,0.0239,0.1326
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",150,172.66,0.028,0.101,0.5609
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",20,22.222,0.0082,0.0297,0.165
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",25,28.603,0.0097,0.035,0.1946
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",30,35.063,0.0111,0.04,0.222
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",35,41.558,0.0124,0.0445,0.2474
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",40,48.059,0.0136,0.0488,0.2712
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",45,54.543,0.0147,0.0528,0.2935
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",5,4.42,0.0028,0.01,0.0558
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",50,60.992,0.0157,0.0566,0.3145
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",55,67.391,0.0167,0.0602,0.3342
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",60,73.731,0.0176,0.0635,0.3528
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",65,80.001,0.0185,0.0667,0.3703
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",70,86.196,0.0193,0.0696,0.3869
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",75,92.31,0.0201,0.0725,0.4025
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",80,98.337,0.0209,0.0751,0.4174
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",85,104.275,0.0216,0.0777,0.4314
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",90,110.121,0.0222,0.0801,0.4448
