"stratum","treatment","P2","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P3","P30","P4","P5","P6","P7","P8","P9","P1","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19"
"Aspen-birch_ME_APH_Industrial","untreated",5.467,53.568,54.698,55.723,56.653,57.496,58.259,58.95,59.575,60.141,60.652,9.259,61.115,13.189,17.099,20.895,24.523,27.951,31.165,2.111,34.158,36.933,39.494,41.85,44.012,45.992,47.801,49.452,50.956,52.324
"Aspen-birch_ME_APH_NIPF","untreated",9.596,46.532,47.66,48.732,49.75,50.717,51.637,52.511,53.343,54.134,54.886,13.147,55.602,16.352,19.288,22.003,24.528,26.887,29.097,5.527,31.173,33.127,34.969,36.708,38.351,39.905,41.376,42.77,44.091,45.343
"Aspen-birch_ME_NCZ_Industrial","untreated",6.194,46.172,46.569,46.904,47.186,47.423,47.623,47.792,47.933,48.053,48.153,10.697,48.238,15.217,19.5,23.427,26.95,30.065,32.788,2.22,35.151,37.188,38.937,40.431,41.705,42.789,43.708,44.487,45.145,45.702
"Aspen-birch_ME_NCZ_NIPF","untreated",7.79,63.061,64.852,66.542,68.136,69.639,71.055,72.39,73.648,74.833,75.95,12.025,77.001,16.204,20.272,24.2,27.973,31.585,35.031,3.62,38.313,41.434,44.396,47.205,49.867,52.386,54.77,57.023,59.152,61.162
"Aspen-birch_ME_NH_Industrial","untreated",3.628,44.131,44.138,44.143,44.146,44.147,44.149,44.149,44.15,44.15,44.15,10.711,44.15,19.053,26.503,32.255,36.344,39.113,40.935,0.318,42.111,42.862,43.339,43.64,43.83,43.949,44.024,44.071,44.101,44.119
"Aspen-birch_ME_NH_NIPF","untreated",8.096,44.604,44.705,44.783,44.843,44.889,44.924,44.951,44.972,44.988,45,14.103,45.01,19.788,24.776,28.97,32.402,35.161,37.353,2.697,39.078,40.428,41.479,42.294,42.925,43.413,43.789,44.078,44.301,44.472
"Mixedwood_ME_APH_NIPF","untreated",1.15,40.565,40.635,40.684,40.72,40.745,40.763,40.776,40.785,40.792,40.797,4.232,40.8,9.037,14.59,20.014,24.793,28.734,31.844,0.078,34.226,36.013,37.334,38.302,39.005,39.514,39.88,40.144,40.333,40.468
"Northern hardwood_ME_APH_Industrial","harvested",2.348,31.037,31.2,31.329,31.432,31.514,31.578,31.63,31.67,31.703,31.728,5.186,31.748,8.493,11.864,15.047,17.91,20.401,22.52,0.503,24.291,25.754,26.951,27.923,28.708,29.34,29.846,30.251,30.574,30.832
"Northern hardwood_ME_APH_Industrial","untreated",11.549,45.575,46.708,47.799,48.852,49.867,50.846,51.792,52.707,53.59,54.445,14.955,55.272,17.924,20.589,23.026,25.279,27.379,29.35,7.382,31.208,32.966,34.635,36.224,37.738,39.186,40.571,41.899,43.173,44.398
"Northern hardwood_ME_APH_NIPF","harvested",4.216,65.771,69.085,72.354,75.576,78.752,81.878,84.956,87.983,90.96,93.887,7.072,96.762,10.16,13.409,16.773,20.218,23.721,27.262,1.721,30.825,34.399,37.972,41.537,45.086,48.613,52.114,55.584,59.018,62.415
"Northern hardwood_ME_APH_NIPF","untreated",3.358,59.289,59.969,60.541,61.021,61.424,61.762,62.046,62.283,62.482,62.648,7.405,62.787,12.312,17.585,22.868,27.926,32.619,36.876,0.757,40.673,44.016,46.931,49.451,51.618,53.471,55.049,56.389,57.523,58.481
"Northern hardwood_ME_APH_Public-Other","untreated",8.389,50.438,51.629,52.746,53.791,54.771,55.689,56.549,57.355,58.11,58.817,12.214,59.48,15.804,19.17,22.327,25.286,28.06,30.66,4.316,33.096,35.38,37.52,39.525,41.404,43.165,44.815,46.361,47.809,49.166
"Northern hardwood_ME_NCZ_Industrial","harvested",0.48,125.489,135.015,144.385,153.564,162.526,171.247,179.71,187.901,195.811,203.431,1.535,210.759,3.407,6.196,9.938,14.62,20.195,26.593,0.062,33.727,41.505,49.829,58.602,67.73,77.126,86.707,96.398,106.131,115.845
"Northern hardwood_ME_NCZ_Industrial","untreated",5.821,53.693,54.708,55.621,56.442,57.179,57.841,58.435,58.968,59.446,59.875,9.824,60.259,13.939,17.997,21.902,25.601,29.065,32.282,2.253,35.251,37.977,40.472,42.746,44.814,46.691,48.39,49.927,51.314,52.565
"Northern hardwood_ME_NCZ_NIPF","harvested",1.252,49.689,50.779,51.734,52.569,53.297,53.933,54.486,54.967,55.386,55.749,3.204,56.065,5.933,9.223,12.857,16.648,20.449,24.15,0.221,27.675,30.976,34.025,36.811,39.335,41.605,43.634,45.438,47.037,48.447
