"stratum","ft_group","ecoregion","owner","treatment","period","age","AGB_tonac","AGB_MgHa","Vol_m3Ha","CarbonMgHa"
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",2,10,5.467,12.3,1,5.5
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",20,100,53.568,120.1,151.8,54
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",21,105,54.698,122.6,155.6,55.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",22,110,55.723,124.9,158.8,56.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",23,115,56.653,127,161.6,57.1
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",24,120,57.496,128.9,164,58
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",25,125,58.259,130.6,166,58.8
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",26,130,58.95,132.1,167.8,59.4
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",27,135,59.575,133.5,169.3,60.1
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",28,140,60.141,134.8,170.6,60.7
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",29,145,60.652,136,171.7,61.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",3,15,9.259,20.8,3.8,9.4
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",30,150,61.115,137,172.6,61.6
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",4,20,13.189,29.6,9.1,13.3
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",5,25,17.099,38.3,16.8,17.2
"Aspen-birch_ME_APH_Industrial","Aspen-birch","ME_APH","Industrial","untreated",6,30,20.895,46.8,26.4,21.1
