"cell_key","ft_group","ecoregion","owner","treatment","R","mean_agb_tonac","mean_C_tonac","vol_cuftac","sev_per_ac"
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",20,4.62,2.08,239.9,1985.34
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",25,6.79,3.06,383.6,2362.31
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",30,9.12,4.1,544.7,2531.1
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",35,11.52,5.18,714,2538.91
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",40,13.93,6.27,883.9,2432.75
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",45,16.29,7.33,1049,2253.3
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",50,18.58,8.36,1205.4,2032.75
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",55,20.78,9.35,1350.8,1794.98
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",60,22.86,10.29,1483.9,1556.63
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",65,24.83,11.17,1604.3,1328.59
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",70,26.69,12.01,1712.2,1117.39
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",75,28.42,12.79,1808.1,926.37
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",80,30.05,13.52,1892.8,756.7
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",85,31.57,14.21,1967.2,608.11
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",90,32.99,14.84,2032.2,479.44
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",95,34.31,15.44,2088.9,369.02
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",100,35.54,15.99,2138.2,274.98
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",105,36.69,16.51,2180.8,195.36
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",110,37.77,16.99,2217.7,128.3
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",115,38.77,17.45,2249.5,72.06
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",120,39.71,17.87,2276.9,25.06
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",125,40.58,18.26,2300.4,-14.09
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",130,41.41,18.63,2320.7,-46.63
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",135,42.18,18.98,2338.1,-73.61
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",140,42.9,19.3,2353,-95.94
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",145,43.58,19.61,2365.8,-114.39
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated",150,44.22,19.9,2376.8,-129.62
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",20,1.34,0.6,21.5,-152.73
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",25,1.75,0.79,32.9,-86.95
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",30,2.19,0.99,46.3,-46.93
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",35,2.64,1.19,61.6,-23.67
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",40,3.1,1.39,78.6,-12.01
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",45,3.57,1.6,97.2,-8.56
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",50,4.04,1.82,117.3,-10.96
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",55,4.52,2.03,138.7,-17.47
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",60,5.01,2.25,161.4,-26.76
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",65,5.49,2.47,185.1,-37.83
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",70,5.98,2.69,209.8,-49.92
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",75,6.47,2.91,235.4,-62.45
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",80,6.97,3.13,261.9,-74.97
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",85,7.46,3.36,289,-87.18
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",90,7.95,3.58,316.7,-98.85
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",95,8.44,3.8,345,-109.84
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",100,8.93,4.02,373.8,-120.05
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",105,9.42,4.24,402.9,-129.43
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",110,9.9,4.46,432.5,-137.98
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",115,10.39,4.67,462.3,-145.71
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","harvested",120,10.87,4.89,492.3,-152.64
