"cell_key","ft_group","ecoregion","owner","response","a","b","c","rmse","n_plots","asymptote"
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","agb_tonac",65.127,0.03417,2.26,22.12,285,65.127
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","carbon_lbac",63188.742,0.03441,2.276,21464.47,285,63188.742
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","ba_ft2ac",127.737,0.04351,1.908,40.055,285,127.737
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","tpa_total",981.399,6.09375,260.331,708.061,285,981.399
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","vol_cuftac",2560.306,0.02801,2.677,844.002,285,2560.306
"Northern hardwood|ME_NCZ|NIPF","Northern hardwood","ME_NCZ","NIPF","agb_tonac",76.818,0.01796,1.463,21.221,254,76.818
"Northern hardwood|ME_NCZ|NIPF","Northern hardwood","ME_NCZ","NIPF","carbon_lbac",74848.015,0.01777,1.449,20510.777,254,74848.015
"Northern hardwood|ME_NCZ|NIPF","Northern hardwood","ME_NCZ","NIPF","ba_ft2ac",153.683,0.01286,0.73,37.334,254,153.683
"Northern hardwood|ME_NCZ|NIPF","Northern hardwood","ME_NCZ","NIPF","tpa_total",665.785,3.73322,57.944,708.046,254,665.785
"Northern hardwood|ME_NCZ|NIPF","Northern hardwood","ME_NCZ","NIPF","vol_cuftac",2594.692,0.02653,2.964,769.861,254,2594.692
"Spruce-fir|ME_NH|Industrial","Spruce-fir","ME_NH","Industrial","agb_tonac",42.405,0.15821,24.439,18.933,316,42.405
"Spruce-fir|ME_NH|Industrial","Spruce-fir","ME_NH","Industrial","carbon_lbac",41884.156,0.16028,25.434,18734,316,41884.156
"Spruce-fir|ME_NH|Industrial","Spruce-fir","ME_NH","Industrial","ba_ft2ac",136.251,0.136,9.949,56.369,316,136.251
"Spruce-fir|ME_NH|Industrial","Spruce-fir","ME_NH","Industrial","vol_cuftac",2147.429,0.02535,1.495,786.076,316,2147.429
"Spruce-fir|ME_APH|NIPF","Spruce-fir","ME_APH","NIPF","agb_tonac",43.528,0.03888,1.522,20.175,285,43.528
"Spruce-fir|ME_APH|NIPF","Spruce-fir","ME_APH","NIPF","carbon_lbac",42414.839,0.0419,1.651,19822.434,285,42414.839
"Spruce-fir|ME_APH|NIPF","Spruce-fir","ME_APH","NIPF","ba_ft2ac",125.481,0.07596,3.098,52.712,285,125.481
"Spruce-fir|ME_APH|NIPF","Spruce-fir","ME_APH","NIPF","vol_cuftac",2330.597,0.01571,1.1,919.785,285,2330.597
"Spruce-fir|ME_NH|NIPF","Spruce-fir","ME_NH","NIPF","ba_ft2ac",133.848,0.22007,64.265,53.442,282,133.848
"Spruce-fir|ME_NH|NIPF","Spruce-fir","ME_NH","NIPF","vol_cuftac",1794.556,0.06686,5.209,782.17,282,1794.556
"Northern hardwood|ME_NH|Industrial","Northern hardwood","ME_NH","Industrial","agb_tonac",52.226,0.03187,1.391,16.777,263,52.226
"Northern hardwood|ME_NH|Industrial","Northern hardwood","ME_NH","Industrial","carbon_lbac",50525.256,0.03291,1.42,16396.361,263,50525.256
"Northern hardwood|ME_NH|Industrial","Northern hardwood","ME_NH","Industrial","ba_ft2ac",107.596,0.07242,2.693,34.09,263,107.596
"Northern hardwood|ME_NH|Industrial","Northern hardwood","ME_NH","Industrial","vol_cuftac",2589.388,0.01152,1.05,605.9,263,2589.388
"Northern hardwood|ME_NH|NIPF","Northern hardwood","ME_NH","NIPF","agb_tonac",60.507,0.01359,0.78,18.399,233,60.507
"Northern hardwood|ME_NH|NIPF","Northern hardwood","ME_NH","NIPF","carbon_lbac",58265.185,0.01395,0.781,17965.038,233,58265.185
"Northern hardwood|ME_NH|NIPF","Northern hardwood","ME_NH","NIPF","ba_ft2ac",125.289,0.01722,0.636,36.804,233,125.289
"Northern hardwood|ME_NCZ|Industrial","Northern hardwood","ME_NCZ","Industrial","agb_tonac",77.83,0.01439,1.273,18.264,148,77.83
"Northern hardwood|ME_NCZ|Industrial","Northern hardwood","ME_NCZ","Industrial","carbon_lbac",75579.048,0.01442,1.272,17791.501,148,75579.048
"Northern hardwood|ME_NCZ|Industrial","Northern hardwood","ME_NCZ","Industrial","ba_ft2ac",144.067,0.01845,1.012,33.573,148,144.067
"Northern hardwood|ME_NCZ|Industrial","Northern hardwood","ME_NCZ","Industrial","vol_cuftac",3280.242,0.0124,1.547,637.495,148,3280.242
"Spruce-fir|ME_NCZ|NIPF","Spruce-fir","ME_NCZ","NIPF","agb_tonac",39.64,0.19141,82.297,19.104,136,39.64
"Spruce-fir|ME_NCZ|NIPF","Spruce-fir","ME_NCZ","NIPF","carbon_lbac",39148.623,0.19412,86.742,18879.113,136,39148.623
"Spruce-fir|ME_NCZ|NIPF","Spruce-fir","ME_NCZ","NIPF","ba_ft2ac",125.094,0.31812,700.227,50.338,136,125.094
"Spruce-fir|ME_NCZ|NIPF","Spruce-fir","ME_NCZ","NIPF","vol_cuftac",1957.774,0.03366,2.676,767.135,136,1957.774
"White/Red pine|ME_APH|NIPF","White/Red pine","ME_APH","NIPF","vol_cuftac",2647.175,0.12608,77.115,1296.972,134,2647.175
"Spruce-fir|ME_APH|Industrial","Spruce-fir","ME_APH","Industrial","agb_tonac",37.578,0.19173,56.779,18.216,120,37.578
"Spruce-fir|ME_APH|Industrial","Spruce-fir","ME_APH","Industrial","carbon_lbac",36995.521,0.19417,60.402,17898.396,120,36995.521
"Spruce-fir|ME_APH|Industrial","Spruce-fir","ME_APH","Industrial","ba_ft2ac",122.53,0.08225,2.355,50.136,120,122.53
"Spruce-fir|ME_APH|Industrial","Spruce-fir","ME_APH","Industrial","vol_cuftac",1580.782,0.06427,5.5,754.517,120,1580.782
"Northern hardwood|ME_APH|Industrial","Northern hardwood","ME_APH","Industrial","agb_tonac",66.234,0.01125,0.814,17.931,106,66.234
"Northern hardwood|ME_APH|Industrial","Northern hardwood","ME_APH","Industrial","carbon_lbac",63629.81,0.01166,0.823,17396.473,106,63629.81
"Northern hardwood|ME_APH|Industrial","Northern hardwood","ME_APH","Industrial","ba_ft2ac",137.077,0.01453,0.73,33.725,106,137.077
"Northern hardwood|ME_APH|Industrial","Northern hardwood","ME_APH","Industrial","tpa_total",1010.014,2.05214,24.15,645.318,106,1010.014
"Spruce-fir|ME_NCZ|Industrial","Spruce-fir","ME_NCZ","Industrial","agb_tonac",42.893,0.15316,12.681,16.977,108,42.893
"Spruce-fir|ME_NCZ|Industrial","Spruce-fir","ME_NCZ","Industrial","carbon_lbac",42400.746,0.15546,13.061,16916.535,108,42400.746
"Spruce-fir|ME_NCZ|Industrial","Spruce-fir","ME_NCZ","Industrial","ba_ft2ac",138.259,0.19486,16.424,48.134,108,138.259
"Spruce-fir|ME_NCZ|Industrial","Spruce-fir","ME_NCZ","Industrial","tpa_total",1462.981,2.89767,47.484,1187.289,108,1462.981
"Spruce-fir|ME_NCZ|Industrial","Spruce-fir","ME_NCZ","Industrial","vol_cuftac",1784.376,0.06377,3.599,804.075,108,1784.376
"Aspen-birch|ME_APH|NIPF","Aspen-birch","ME_APH","NIPF","agb_tonac",58.067,0.02015,1.148,21.098,93,58.067
"Aspen-birch|ME_APH|NIPF","Aspen-birch","ME_APH","NIPF","carbon_lbac",57399.055,0.01997,1.148,20653.174,93,57399.055
"Aspen-birch|ME_APH|NIPF","Aspen-birch","ME_APH","NIPF","ba_ft2ac",121.451,0.03249,1.109,45.295,93,121.451
"Aspen-birch|ME_APH|NIPF","Aspen-birch","ME_APH","NIPF","tpa_total",1023.713,1.54279,13.343,800.438,93,1023.713
"Oak/Pine/Hemlock|ME_APH|NIPF","Oak/Pine/Hemlock","ME_APH","NIPF","ba_ft2ac",145.116,3.02091,-25.117,51.465,82,145.116
"Oak/Pine/Hemlock|ME_APH|NIPF","Oak/Pine/Hemlock","ME_APH","NIPF","tpa_total",774.183,9.67215,-806.139,542.323,82,774.183
"Oak/Pine/Hemlock|ME_APH|NIPF","Oak/Pine/Hemlock","ME_APH","NIPF","vol_cuftac",3523.945,0.02595,2.804,929.733,82,3523.945
"Aspen-birch|ME_NH|NIPF","Aspen-birch","ME_NH","NIPF","agb_tonac",45.612,0.04546,1.651,17.911,75,45.612
"Aspen-birch|ME_NH|NIPF","Aspen-birch","ME_NH","NIPF","carbon_lbac",44844.292,0.04572,1.654,17693.538,75,44844.292
"Aspen-birch|ME_NH|NIPF","Aspen-birch","ME_NH","NIPF","ba_ft2ac",119.329,0.0491,1.209,48.058,75,119.329
"Aspen-birch|ME_NH|NIPF","Aspen-birch","ME_NH","NIPF","tpa_total",1055.68,102.25519,2300.134,1107.862,75,1055.68
"Aspen-birch|ME_NH|NIPF","Aspen-birch","ME_NH","NIPF","vol_cuftac",2052.819,0.04503,3.828,670.06,75,2052.819
