"cell_key","ft_group","ecoregion","owner","treatment","response","age","predicted","lo95","median","hi95"
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",5,0.757,0.045,0.702,3.066
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",10,3.358,0.72,3.211,7.156
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",15,7.405,2.969,7.106,11.78
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",20,12.312,6.885,11.953,16.475
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",25,17.585,12.039,17.088,21.634
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",30,22.868,17.468,22.487,26.666
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",35,27.926,23.298,27.558,31.426
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",40,32.619,28.607,32.173,36.082
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",45,36.876,32.931,36.552,40.133
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",50,40.673,37.312,40.368,43.601
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",55,44.016,40.962,43.85,46.971
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",60,46.931,44.155,46.853,49.82
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",65,49.451,46.881,49.537,52.164
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",70,51.618,48.905,51.736,54.54
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",75,53.471,50.398,53.556,56.559
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",80,55.049,51.681,55.16,58.514
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",85,56.389,52.922,56.577,60.285
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",90,57.523,53.803,57.702,62.073
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",95,58.481,54.35,58.711,63.78
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",100,59.289,54.779,59.584,65.14
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",105,59.969,55.126,60.219,66.576
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",110,60.541,55.406,60.807,67.674
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",115,61.021,55.581,61.334,68.7
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",120,61.424,55.636,61.776,69.772
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",125,61.762,55.677,62.102,70.742
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",130,62.046,55.707,62.449,71.618
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",135,62.283,55.73,62.712,72.834
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",140,62.482,55.747,62.91,73.282
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",145,62.648,55.808,63.062,73.933
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","agb_tonac",150,62.787,55.865,63.165,74.347
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",5,5.225,0.911,4.801,10.732
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",10,16.386,6.383,16.302,25.011
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",15,29.723,16.941,29.681,39.143
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",20,43.266,30.511,43.413,53.394
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",25,56,44.731,56.325,67.179
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",30,67.454,58.013,67.914,79.218
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",35,77.469,69.29,77.85,88.988
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",40,86.06,78.481,86.44,96.657
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",45,93.328,85.745,93.942,102.46
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",50,99.416,92.163,99.789,107.318
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",55,104.478,97.835,104.706,110.662
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",60,108.661,102.424,108.803,114.168
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",65,112.104,106.527,112.086,116.967
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",70,114.927,109.544,114.782,119.651
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",75,117.236,111.811,117.062,121.932
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",80,119.121,113.219,118.714,124.323
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",85,120.656,114.379,120.244,125.964
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",90,121.905,115.763,121.262,128.113
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",95,122.92,116.223,122.406,130.15
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",100,123.745,116.563,123.121,131.378
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",105,124.414,116.81,123.995,132.874
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",110,124.956,116.998,124.549,134.18
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",115,125.396,117.075,124.948,135.065
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",120,125.752,117.153,125.281,135.948
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",125,126.041,117.196,125.543,136.641
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",130,126.275,117.228,125.812,137.064
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",135,126.464,117.252,125.956,137.498
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",140,126.617,117.269,126.081,137.832
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",145,126.741,117.282,126.181,138.101
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","ba_ft2ac",150,126.842,117.291,126.275,138.448
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",5,723.288,42.04,659.631,2898.097
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",10,3235.818,690.603,3110.722,6790.706
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",15,7163.829,2868.493,7009.593,11084.995
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",20,11937.353,6817.618,11848.528,15741.848
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",25,17073.396,11566.405,17095.309,20314.366
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",30,22221.081,17399.272,22449.229,25806.9
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",35,27149.261,22656.532,27144.768,30751.122
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",40,31720.396,27893.803,31761.5,35278.738
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",45,35864.691,32250.956,35698.482,39387.85
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",50,39558.674,36152.134,39414.633,43102.126
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",55,42808.862,39669.617,42808.98,45898.828
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",60,45639.926,42605.341,45667.071,48506.46
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",65,48086.439,45016.286,48048.167,50956.2
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",70,50187.336,47394.826,50098.907,53098.065
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",75,51982.319,49038.515,51910.552,55183.075
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",80,53509.659,50274.7,53488.798,56668.526
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",85,54804.939,51205.912,54654.113,58273.095
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",90,55900.428,51794.531,55643.82,59650.824
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",95,56824.878,52287.973,56526.008,60943.936
"Northern hardwood|ME_APH|NIPF","Northern hardwood","ME_APH","NIPF","untreated","carbon_lbac",100,57603.56,52678.893,57218.226,62447.882
